year,month,auc,tss,mean_auc,mean_tss
2007,4,0.7039,0.351,0.7508722222222222,0.4224
2007,5,0.8434999999999999,0.5529,0.8439722222222222,0.5601166666666667
2007,6,0.7836000000000001,0.4818,0.7923333333333333,0.4927888888888889
2007,8,0.7424999999999999,0.369,0.7194333333333334,0.36959444444444445
2007,9,0.8199,0.5383,NA,NA
2007,10,0.7929,0.4872,0.7713888888888889,0.4864111111111111
2007,11,0.8714999999999999,0.6381,0.8748611111111111,0.66505
2008,1,0.7861,0.5271,0.7997833333333333,0.5638333333333333
2008,2,0.8087,0.5357999999999999,0.7489222222222223,0.4545666666666667
2008,3,0.8471,0.5748,0.81225,0.5448333333333334
2008,4,0.7228,0.3708,0.7508722222222222,0.4224
2008,5,0.8392,0.5543,0.8439722222222222,0.5601166666666667
2008,6,0.8029000000000001,0.5162,0.7923333333333333,0.4927888888888889
2008,8,0.7352,0.3651,0.7194333333333334,0.36959444444444445
2008,9,0.8116,0.5261,NA,NA
2008,10,0.7792,0.47200000000000003,0.7713888888888889,0.4864111111111111
2008,11,0.869,0.6396,0.8748611111111111,0.66505
2009,1,0.7874,0.5274,0.7997833333333333,0.5638333333333333
2009,2,0.8121,0.5322,0.7489222222222223,0.4545666666666667
2009,3,0.8509,0.5854,0.81225,0.5448333333333334
2009,4,0.7136,0.3517,0.7508722222222222,0.4224
2009,5,0.8536,0.5741,0.8439722222222222,0.5601166666666667
2009,6,0.7853,0.4924,0.7923333333333333,0.4927888888888889
2009,8,0.7392,0.3625,0.7194333333333334,0.36959444444444445
2009,9,0.8136,0.5261,NA,NA
2009,10,0.7964,0.4966,0.7713888888888889,0.4864111111111111
2009,11,0.8821,0.6562,0.8748611111111111,0.66505
2010,1,0.785,0.5455,0.7997833333333333,0.5638333333333333
2010,2,0.8116,0.5128,0.7489222222222223,0.4545666666666667
2010,3,0.8597,0.6134000000000001,0.81225,0.5448333333333334
2010,4,0.7041999999999999,0.3443,0.7508722222222222,0.4224
