year,month,auc,tss,mean_auc,mean_tss
2008,4,0.905,0.597,0.932,0.6877222222222222
2008,5,0.937,0.703,0.9438333333333333,0.7235555555555555
2008,6,0.937,0.699,0.9419444444444445,0.7143333333333333
2008,8,0.914,0.67,0.9398333333333333,0.7325555555555556
2008,9,0.959,0.769,0.9735,0.8503888888888889
2008,10,0.942,0.708,0.9597222222222221,0.7946666666666666
2008,11,0.959,0.803,0.9657222222222221,0.8256111111111112
2009,1,0.971,0.826,0.9731666666666666,0.8263333333333333
2009,2,0.964,0.787,0.9777777777777777,0.8743888888888889
2009,3,0.948,0.752,0.9624999999999999,0.8137222222222222
2009,4,0.91,0.636,0.932,0.6877222222222222
2009,5,0.939,0.701,0.9438333333333333,0.7235555555555555
2009,6,0.933,0.694,0.9419444444444445,0.7143333333333333
2009,8,0.918,0.675,0.9398333333333333,0.7325555555555556
2009,9,0.961,0.772,0.9735,0.8503888888888889
2009,10,0.945,0.715,0.9597222222222221,0.7946666666666666
2009,11,0.96,0.802,0.9657222222222221,0.8256111111111112
2010,1,0.971,0.833,0.9731666666666666,0.8263333333333333
2010,2,0.965,0.803,0.9777777777777777,0.8743888888888889
2010,3,0.949,0.759,0.9624999999999999,0.8137222222222222
2010,4,0.919,0.632,0.932,0.6877222222222222
2010,5,0.937,0.703,0.9438333333333333,0.7235555555555555
2010,6,0.938,0.696,0.9419444444444445,0.7143333333333333
2010,8,0.919,0.663,0.9398333333333333,0.7325555555555556
2010,9,0.96,0.778,0.9735,0.8503888888888889
2010,10,0.943,0.72,0.9597222222222221,0.7946666666666666
2010,11,0.961,0.801,0.9657222222222221,0.8256111111111112
2011,1,0.97,0.83,0.9731666666666666,0.8263333333333333
2011,2,0.995,0.964,0.9777777777777777,0.8743888888888889
2011,3,0.986,0.92,0.9624999999999999,0.8137222222222222
2011,4,0.964,0.78,0.932,0.6877222222222222
2011,5,0.953,0.755,0.9438333333333333,0.7235555555555555
2011,6,0.956,0.773,0.9419444444444445,0.7143333333333333
2011,8,0.984,0.858,0.9398333333333333,0.7325555555555556
2011,9,0.991,0.95,0.9735,0.8503888888888889
2011,10,0.988,0.946,0.9597222222222221,0.7946666666666666
2011,11,0.978,0.871,0.9657222222222221,0.8256111111111112
2012,2,0.995,0.943,0.9777777777777777,0.8743888888888889
2012,3,0.987,0.91,0.9624999999999999,0.8137222222222222
2012,4,0.956,0.767,0.932,0.6877222222222222
2012,5,0.953,0.748,0.9438333333333333,0.7235555555555555
2012,6,0.95,0.757,0.9419444444444445,0.7143333333333333
2012,8,0.968,0.798,0.9398333333333333,0.7325555555555556
2012,9,0.991,0.96,0.9735,0.8503888888888889
2012,10,0.988,0.934,0.9597222222222221,0.7946666666666666
2012,11,0.975,0.863,0.9657222222222221,0.8256111111111112
2013,2,0.995,0.973,0.9777777777777777,0.8743888888888889
2013,3,0.984,0.89,0.9624999999999999,0.8137222222222222
2013,4,0.959,0.765,0.932,0.6877222222222222
2013,5,0.953,0.743,0.9438333333333333,0.7235555555555555
2013,6,0.951,0.731,0.9419444444444445,0.7143333333333333
2013,8,0.973,0.835,0.9398333333333333,0.7325555555555556
2013,9,0.995,0.978,0.9735,0.8503888888888889
2013,10,0.986,0.891,0.9597222222222221,0.7946666666666666
2013,11,0.975,0.843,0.9657222222222221,0.8256111111111112
2014,2,0.996,0.976,0.9777777777777777,0.8743888888888889
2014,3,0.985,0.905,0.9624999999999999,0.8137222222222222
2014,4,0.958,0.785,0.932,0.6877222222222222
2014,5,0.953,0.742,0.9438333333333333,0.7235555555555555
2014,6,0.953,0.752,0.9419444444444445,0.7143333333333333
2014,8,0.97,0.818,0.9398333333333333,0.7325555555555556
2014,9,0.994,0.946,0.9735,0.8503888888888889
2014,10,0.986,0.946,0.9597222222222221,0.7946666666666666
2014,11,0.977,0.884,0.9657222222222221,0.8256111111111112
2015,2,0.998,0.993,0.9777777777777777,0.8743888888888889
2015,3,0.988,0.908,0.9624999999999999,0.8137222222222222
2015,4,0.958,0.769,0.932,0.6877222222222222
2015,5,0.956,0.749,0.9438333333333333,0.7235555555555555
2015,6,0.953,0.736,0.9419444444444445,0.7143333333333333
2015,8,0.974,0.834,0.9398333333333333,0.7325555555555556
2015,9,0.993,0.975,0.9735,0.8503888888888889
2015,10,0.99,0.946,0.9597222222222221,0.7946666666666666
2015,11,0.973,0.858,0.9657222222222221,0.8256111111111112
2016,2,0.997,0.983,0.9777777777777777,0.8743888888888889
2016,3,0.986,0.923,0.9624999999999999,0.8137222222222222
2016,4,0.964,0.786,0.932,0.6877222222222222
2016,5,0.956,0.761,0.9438333333333333,0.7235555555555555
2016,6,0.957,0.774,0.9419444444444445,0.7143333333333333
2016,8,0.976,0.854,0.9398333333333333,0.7325555555555556
2016,9,0.996,0.96,0.9735,0.8503888888888889
2016,10,0.986,0.925,0.9597222222222221,0.7946666666666666
2016,11,0.975,0.852,0.9657222222222221,0.8256111111111112
2017,2,0.998,0.983,0.9777777777777777,0.8743888888888889
2017,3,0.988,0.913,0.9624999999999999,0.8137222222222222
2017,4,0.966,0.783,0.932,0.6877222222222222
2017,5,0.953,0.765,0.9438333333333333,0.7235555555555555
2017,6,0.949,0.731,0.9419444444444445,0.7143333333333333
2017,8,0.983,0.864,0.9398333333333333,0.7325555555555556
2017,9,0.994,0.96,0.9735,0.8503888888888889
2017,10,0.985,0.885,0.9597222222222221,0.7946666666666666
2017,11,0.977,0.907,0.9657222222222221,0.8256111111111112
