"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.712,NA,598,78.767,94.345
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.802,NA,463,94.178,85.97
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.96,NA,471.5,94.178,86.471
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.749,NA,539,79.795,95.49
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.827,NA,421,93.836,89.191
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.967,NA,420.5,93.836,89.191
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.662,NA,688,73.63,93.558
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.778,NA,508,94.863,82.892
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.95,NA,534.5,93.151,84.753
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.634,NA,573,88.014,87.545
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.773,NA,497,93.836,83.465
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.938,NA,500.5,93.836,83.679
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.742,NA,949,83.904,93.987
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.816,NA,848,92.123,89.477
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.955,NA,850,92.123,89.477
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.714,NA,597,78.767,94.417
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.803,NA,462,94.178,86.042
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.96,NA,469.5,94.178,86.471
