"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.008,0.05,0.183,0.069,0.073,0.176,0.039,0.053,0.169,0.037,0.058,0.177,0.04,0.051,0.197,0.013,0.032,0.168,0.005,0.045,0.173,0.007,0.048,0.196,0.032,0.043,0.152,0.079,0.074,0.21
"lag_sst",0.236,0.225,0.306,0.341,0.321,0.371,0.301,0.223,0.291,0.268,0.216,0.307,0.311,0.301,0.363,0.299,0.215,0.324,0.22,0.211,0.272,0.326,0.284,0.36,0.354,0.299,0.373,0.297,0.231,0.31
"int_chl",0.493,0.487,0.513,0.39,0.458,0.481,0.461,0.496,0.468,0.504,0.604,0.582,0.454,0.488,0.482,0.468,0.519,0.517,0.492,0.507,0.521,0.411,0.456,0.48,0.427,0.505,0.475,0.466,0.515,0.516
"sss",0.258,0.302,0.354,0.269,0.261,0.325,0.255,0.31,0.378,0.268,0.307,0.341,0.245,0.268,0.326,0.256,0.292,0.287,0.261,0.303,0.387,0.249,0.273,0.312,0.237,0.292,0.308,0.244,0.276,0.33
