"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.067,0.08,0.23,0.063,0.065,0.158,0.008,0.025,0.144,0.066,0.057,0.184,0.08,0.066,0.188,0.034,0.049,0.187,0.022,0.062,0.192,0.042,0.044,0.18,0.074,0.079,0.196,0.077,0.076,0.206
"lag_sst",0.262,0.206,0.275,0.288,0.225,0.279,0.335,0.28,0.367,0.24,0.253,0.305,0.294,0.247,0.34,0.371,0.264,0.356,0.264,0.212,0.299,0.291,0.227,0.308,0.264,0.21,0.31,0.252,0.193,0.288
"int_chl",0.479,0.546,0.512,0.51,0.523,0.531,0.455,0.506,0.495,0.49,0.473,0.474,0.51,0.589,0.532,0.446,0.505,0.498,0.512,0.528,0.478,0.471,0.53,0.517,0.501,0.563,0.541,0.462,0.535,0.505
"sss",0.239,0.288,0.339,0.228,0.301,0.37,0.216,0.239,0.293,0.248,0.269,0.312,0.23,0.232,0.259,0.217,0.261,0.313,0.237,0.297,0.344,0.241,0.269,0.324,0.255,0.285,0.322,0.276,0.293,0.324
