"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.159,0.036,0.181,0.153,0.055,0.222,0.128,0.037,0.126,0.195,0.052,0.145,0.15,0.036,0.155,0.177,0.039,0.118,0.191,0.051,0.157,0.151,0.063,0.182,0.139,0.038,0.174,0.133,0.034,0.16
"lag_sst",0.121,0.363,0.498,0.298,0.267,0.487,0.29,0.264,0.484,0.275,0.159,0.484,0.287,0.216,0.429,0.351,0.26,0.488,0.258,0.161,0.457,0.37,0.249,0.496,0.343,0.246,0.53,0.262,0.203,0.459
"int_chl",0.397,0.472,0.482,0.417,0.487,0.579,0.439,0.608,0.608,0.376,0.412,0.489,0.41,0.522,0.56,0.441,0.555,0.548,0.368,0.524,0.555,0.411,0.524,0.563,0.356,0.535,0.549,0.458,0.572,0.642
"sss",0.428,0.275,0.277,0.414,0.327,0.282,0.434,0.291,0.253,0.435,0.397,0.318,0.355,0.325,0.29,0.341,0.256,0.235,0.454,0.382,0.257,0.349,0.31,0.291,0.381,0.343,0.327,0.372,0.293,0.302
