"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.545,0.061,0.377,0.701,0.044,0.327,0.583,0.033,0.355,0.619,0.074,0.249,0.608,0.074,0.261,0.534,0.083,0.354,0.451,0.086,0.174,0.798,0.355,0.28,0.408,0.127,0.216,0.55,0.133,0.28
"lag_sst",0.451,0.475,0.296,0.701,0.463,0.269,0.726,0.355,0.162,0.558,0.326,0.287,0.687,0.527,0.278,0.648,0.386,0.264,0.813,0.493,0.353,0.623,0.549,0.255,0.728,0.432,0.395,0.786,0.439,0.374
"int_chl",0.888,0.538,0.661,0.729,0.492,0.572,0.551,0.614,0.648,0.749,0.612,0.618,0.7,0.461,0.48,0.708,0.453,0.551,0.686,0.585,0.601,0.671,0.57,0.638,0.516,0.507,0.532,0.687,0.601,0.578
"sss",0.473,0.167,0.113,0.732,0.181,0.07,0.665,0.175,0.069,0.583,0.193,0.153,0.846,0.21,0.093,0.708,0.266,0.101,0.037,0.127,0.133,0.477,0.031,0.052,0.017,0.186,0.096,0.564,0.214,0.085
