"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.072,0.052,0.101,0.071,0.065,0.105,0.057,0.051,0.09,0.066,0.075,0.118,0.054,0.059,0.112,0.047,0.073,0.115,0.06,0.059,0.102,0.069,0.075,0.122,0.05,0.049,0.097,0.05,0.05,0.099
"lag_sst",0.591,0.432,0.429,0.597,0.425,0.408,0.626,0.491,0.459,0.604,0.514,0.482,0.584,0.428,0.415,0.602,0.499,0.508,0.566,0.401,0.397,0.507,0.363,0.386,0.589,0.458,0.449,0.615,0.413,0.412
"int_chl",0.431,0.607,0.562,0.453,0.598,0.568,0.387,0.524,0.526,0.43,0.554,0.51,0.459,0.608,0.547,0.444,0.533,0.503,0.461,0.632,0.562,0.498,0.656,0.563,0.431,0.582,0.554,0.404,0.609,0.567
"sss",0.134,0.022,0.088,0.073,0.019,0.092,0.1,0.02,0.113,0.066,0.012,0.077,0.073,0.017,0.096,0.072,0.013,0.082,0.052,0.024,0.102,0.079,0.013,0.086,0.085,0.012,0.081,0.083,0.013,0.091
