"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.045,0.047,0.095,0.058,0.072,0.12,0.065,0.07,0.114,0.03,0.051,0.099,0.033,0.048,0.109,0.032,0.038,0.081,0.069,0.073,0.119,0.031,0.03,0.085,0.06,0.064,0.108,0.057,0.07,0.103
"lag_sst",0.542,0.426,0.411,0.659,0.523,0.497,0.595,0.503,0.459,0.606,0.464,0.436,0.6,0.407,0.386,0.553,0.401,0.38,0.633,0.535,0.493,0.579,0.47,0.476,0.619,0.525,0.485,0.577,0.478,0.451
"int_chl",0.469,0.61,0.542,0.381,0.522,0.486,0.403,0.542,0.542,0.451,0.585,0.585,0.412,0.626,0.548,0.512,0.616,0.563,0.392,0.532,0.501,0.416,0.581,0.529,0.389,0.531,0.503,0.468,0.552,0.53
"sss",0.066,0.015,0.087,0.084,0.012,0.086,0.077,0.009,0.076,0.087,0.012,0.08,0.061,0.01,0.078,0.04,0.017,0.106,0.057,0.013,0.085,0.059,0.022,0.101,0.106,0.022,0.093,0.033,0.007,0.068
