"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.616,NA,476,88.567,72.84
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.636,NA,587,73.43,90.123
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.91,NA,582,74.396,89.815
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.572,NA,381,90.177,64.198
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.609,NA,519,72.947,87.963
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.896,NA,525.5,72.464,89.198
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.652,NA,527,91.465,71.914
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.665,NA,638,77.295,88.58
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.921,NA,638.5,77.295,89.198
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.543,NA,380,91.948,58.642
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.569,NA,590,68.599,87.963
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.874,NA,590.5,68.599,88.272
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.634,NA,66,97.585,60.494
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.598,NA,672,66.023,93.827
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.907,NA,674,66.023,93.827
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.622,NA,476,88.567,72.84
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.636,NA,587,73.752,89.815
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.91,NA,582.5,74.396,89.815
