"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.81,NA,568,85.507,95.109
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.815,NA,452,95.652,85.87
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.974,NA,454.5,95.652,85.87
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.828,NA,511,85.507,96.196
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.821,NA,432,91.304,90.761
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.977,NA,470,88.406,94.022
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.781,NA,635,84.058,94.022
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.806,NA,590,89.855,90.761
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.971,NA,591,89.855,90.761
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.851,NA,588,89.855,95.652
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.862,NA,488,97.101,88.043
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.982,NA,489,97.101,89.13
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.815,NA,848,89.855,93.478
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.835,NA,818,92.754,90.761
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.974,NA,816.5,92.754,90.761
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.81,NA,567,85.507,95.109
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.815,NA,451,95.652,85.87
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.975,NA,452.5,95.652,85.87
