"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.695,NA,563,70.642,96.703
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.769,NA,354,95.413,81.319
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.959,NA,351.5,96.33,80.907
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.726,NA,500,70.642,97.527
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.791,NA,303,94.495,84.478
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.965,NA,306,94.495,85.027
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.657,NA,620,71.56,95.055
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.766,NA,425,96.33,80.082
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.952,NA,425.5,96.33,80.22
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.664,NA,587,72.477,95.192
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.806,NA,418,95.413,85.165
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.953,NA,419,95.413,85.165
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.686,NA,848,82.569,93.544
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.763,NA,783,86.239,90.11
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.956,NA,783.5,86.239,90.11
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.697,NA,570,69.725,96.841
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.769,NA,354,95.413,81.319
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.959,NA,350.5,96.33,80.907
