"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.133,0.147,0.197,0.185,0.196,0.193,0.149,0.143,0.171,0.188,0.239,0.258,0.145,0.191,0.218,0.145,0.207,0.205,0.151,0.192,0.223,0.218,0.25,0.281,0.139,0.188,0.199,0.153,0.174,0.201
"lag_sst",0.4,0.477,0.483,0.457,0.51,0.491,0.44,0.46,0.514,0.381,0.482,0.519,0.365,0.439,0.466,0.391,0.428,0.449,0.349,0.445,0.506,0.327,0.438,0.51,0.38,0.431,0.496,0.387,0.42,0.483
"int_chl",0.416,0.403,0.353,0.339,0.344,0.315,0.358,0.388,0.31,0.298,0.302,0.255,0.39,0.419,0.352,0.354,0.321,0.294,0.381,0.353,0.312,0.397,0.395,0.341,0.324,0.336,0.262,0.413,0.423,0.384
"sss",0.137,0.064,0.17,0.14,0.066,0.187,0.117,0.065,0.188,0.147,0.045,0.158,0.121,0.072,0.219,0.085,0.079,0.233,0.168,0.082,0.204,0.086,0.029,0.145,0.186,0.095,0.245,0.096,0.058,0.179
