"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.046,0.067,0.193,0.019,0.043,0.138,0.062,0.077,0.228,0.026,0.044,0.157,0.003,0.036,0.157,0.03,0.054,0.197,0.006,0.043,0.191,0.074,0.061,0.185,0.064,0.054,0.164,0.023,0.062,0.19
"lag_sst",0.258,0.231,0.334,0.261,0.211,0.28,0.306,0.262,0.355,0.315,0.234,0.315,0.239,0.231,0.324,0.255,0.231,0.327,0.343,0.325,0.371,0.334,0.286,0.382,0.274,0.232,0.339,0.272,0.237,0.308
"int_chl",0.493,0.545,0.527,0.5,0.55,0.555,0.435,0.496,0.471,0.485,0.561,0.505,0.51,0.553,0.517,0.518,0.565,0.533,0.471,0.502,0.481,0.447,0.535,0.506,0.485,0.575,0.557,0.466,0.524,0.523
"sss",0.284,0.304,0.325,0.294,0.315,0.347,0.246,0.246,0.259,0.228,0.253,0.299,0.265,0.3,0.316,0.253,0.261,0.304,0.218,0.212,0.281,0.228,0.236,0.283,0.228,0.301,0.326,0.263,0.287,0.303
