"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.818,NA,468.5,83.333,98.498
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.946,NA,381.5,100,94.595
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.988,NA,383,100,94.595
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.818,NA,362,83.333,98.498
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.946,NA,272,100,94.595
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.989,NA,273,100,94.595
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.786,NA,538,90,96.997
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.946,NA,499,100,94.595
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.987,NA,502,100,94.895
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.882,NA,452.5,96.667,98.198
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.976,NA,433,100,97.598
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.993,NA,432,100,97.598
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.673,NA,803,96.667,93.093
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.904,NA,763,100,90.39
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.975,NA,761,100,90.39
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.818,NA,475.5,83.333,98.498
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.946,NA,385,100,94.595
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.988,NA,386.5,100,94.595
