"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.152,0.141,0.166,0.155,0.058,0.138,0.133,0.064,0.127,0.093,0.065,0.137,0.165,0.117,0.153,0.097,0.088,0.152,0.131,0.072,0.099,0.105,0.062,0.131,0.145,0.114,0.152,0.079,0.095,0.145
"lag_sst",0.171,0.089,0.157,0.056,0.032,0.132,0.095,0.04,0.143,0.104,0.09,0.187,0.156,0.084,0.18,0.084,0.05,0.141,0.136,0.066,0.159,0.159,0.105,0.185,0.162,0.1,0.222,0.13,0.059,0.143
"int_chl",0.554,0.7,0.661,0.712,0.845,0.752,0.661,0.824,0.778,0.657,0.821,0.794,0.558,0.723,0.719,0.67,0.781,0.722,0.637,0.764,0.746,0.691,0.849,0.816,0.769,0.803,0.742,0.644,0.814,0.706
"sss",0.351,0.237,0.27,0.279,0.232,0.243,0.257,0.238,0.242,0.377,0.18,0.233,0.302,0.229,0.26,0.286,0.2,0.236,0.272,0.218,0.245,0.279,0.15,0.195,0.186,0.161,0.213,0.341,0.198,0.207
