"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.7,NA,556,72.477,96.429
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.778,NA,467,87.156,90.522
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.96,NA,467.5,87.156,90.659
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.728,NA,479,73.394,96.978
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.808,NA,408,87.156,93.681
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.966,NA,407.5,87.156,93.681
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.669,NA,633,71.56,95.604
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.764,NA,420,96.33,79.808
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.951,NA,423.5,96.33,80.357
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.667,NA,566,77.982,93.956
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.794,NA,410,96.33,83.104
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.952,NA,416,96.33,83.654
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.736,NA,848,82.569,95.33
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.791,NA,783,87.156,91.896
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.963,NA,783.5,87.156,91.896
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.7,NA,557,73.394,96.429
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.778,NA,468,87.156,90.522
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.96,NA,468.5,87.156,90.659
