"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.806,NA,242,88.889,74
"2","GAM_RUN1_AllData","TSS",0.629,NA,242,88.889,74
"3","GAM_RUN1_AllData","KAPPA",0.31,NA,624,55.556,88
"4","GBM_RUN1_AllData","ROC",0.829,NA,189.5,88.889,71
"5","GBM_RUN1_AllData","TSS",0.579,NA,170,88.889,69
"6","GBM_RUN1_AllData","KAPPA",0.316,NA,348,44.444,92
"7","RF_RUN1_AllData","ROC",0.784,NA,68,88.889,68
"8","RF_RUN1_AllData","TSS",0.569,NA,66,88.889,66
"9","RF_RUN1_AllData","KAPPA",0.241,NA,316,22.222,97
"10","GAM_RUN2_AllData","ROC",0.762,NA,38.5,88.889,67
"11","GAM_RUN2_AllData","TSS",0.549,NA,30,88.889,66
"12","GAM_RUN2_AllData","KAPPA",0.326,NA,916,33.333,96
"13","GBM_RUN2_AllData","ROC",0.795,NA,248.5,88.889,69
"14","GBM_RUN2_AllData","TSS",0.569,NA,246,88.889,68
"15","GBM_RUN2_AllData","KAPPA",0.239,NA,332,66.667,79
"16","RF_RUN2_AllData","ROC",0.723,NA,110,66.667,76
"17","RF_RUN2_AllData","TSS",0.427,NA,108,66.667,76
"18","RF_RUN2_AllData","KAPPA",0.271,NA,379,22.222,98
"19","GAM_RUN3_AllData","ROC",0.685,NA,15,77.778,70
"20","GAM_RUN3_AllData","TSS",0.468,NA,10,77.778,69
"21","GAM_RUN3_AllData","KAPPA",0.19,NA,10,77.778,69
"22","GBM_RUN3_AllData","ROC",0.743,NA,102,100,54
"23","GBM_RUN3_AllData","TSS",0.53,NA,96,100,53
"24","GBM_RUN3_AllData","KAPPA",0.182,NA,177,77.778,68
"25","RF_RUN3_AllData","ROC",0.778,NA,131,77.778,78
"26","RF_RUN3_AllData","TSS",0.558,NA,129,77.778,78
"27","RF_RUN3_AllData","KAPPA",0.277,NA,129,77.778,78
"28","GAM_RUN4_AllData","ROC",0.587,NA,981.5,33.333,90
"29","GAM_RUN4_AllData","TSS",0.233,NA,980,33.333,90
"30","GAM_RUN4_AllData","KAPPA",0.194,NA,980,33.333,90
"31","GBM_RUN4_AllData","ROC",0.726,NA,88.5,88.889,61
"32","GBM_RUN4_AllData","TSS",0.489,NA,87,88.889,59
"33","GBM_RUN4_AllData","KAPPA",0.23,NA,476.5,33.333,92
"34","RF_RUN4_AllData","ROC",0.654,NA,23,88.889,50
"35","RF_RUN4_AllData","TSS",0.389,NA,23,88.889,50
"36","RF_RUN4_AllData","KAPPA",0.156,NA,678,11.111,99
"37","GAM_RUN5_AllData","ROC",0.661,NA,935,44.444,93
"38","GAM_RUN5_AllData","TSS",0.364,NA,924,44.444,92
"39","GAM_RUN5_AllData","KAPPA",0.326,NA,980,33.333,96
"40","GBM_RUN5_AllData","ROC",0.817,NA,392.5,77.778,78
"41","GBM_RUN5_AllData","TSS",0.548,NA,389.5,77.778,77
"42","GBM_RUN5_AllData","KAPPA",0.372,NA,457,55.556,90
"43","RF_RUN5_AllData","ROC",0.817,NA,83,100,66
"44","RF_RUN5_AllData","TSS",0.65,NA,80,100,65
"45","RF_RUN5_AllData","KAPPA",0.433,NA,340,33.333,99
"46","GAM_RUN6_AllData","ROC",0.858,NA,695,77.778,86
"47","GAM_RUN6_AllData","TSS",0.63,NA,40,100,62
"48","GAM_RUN6_AllData","KAPPA",0.396,NA,788,66.667,89
"49","GBM_RUN6_AllData","ROC",0.834,NA,325.5,88.889,77
"50","GBM_RUN6_AllData","TSS",0.649,NA,320,88.889,76
"51","GBM_RUN6_AllData","KAPPA",0.3,NA,320,88.889,76
"52","RF_RUN6_AllData","ROC",0.732,NA,61,88.889,66
"53","RF_RUN6_AllData","TSS",0.549,NA,60,88.889,64
"54","RF_RUN6_AllData","KAPPA",0.215,NA,75,77.778,72
"55","GAM_RUN7_AllData","ROC",0.819,NA,592.5,66.667,87
"56","GAM_RUN7_AllData","TSS",0.537,NA,596,66.667,87
"57","GAM_RUN7_AllData","KAPPA",0.393,NA,970,33.333,98
"58","GBM_RUN7_AllData","ROC",0.905,NA,293.5,100,73
"59","GBM_RUN7_AllData","TSS",0.73,NA,293,100,71
"60","GBM_RUN7_AllData","KAPPA",0.468,NA,406.5,66.667,92
"61","RF_RUN7_AllData","ROC",0.837,NA,101,77.778,80
