"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.774,NA,420,95.918,79.048
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.765,NA,537,89.796,86.667
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.959,NA,537,89.796,86.667
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.767,NA,356,95.408,79.048
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.756,NA,440,90.816,84.762
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.958,NA,439.5,90.816,84.762
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.781,NA,484,96.429,79.048
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.77,NA,587,90.306,86.667
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.96,NA,589,90.306,86.667
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.782,NA,410,95.918,79.048
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.779,NA,510,90.306,87.619
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.96,NA,514,90.306,87.619
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.819,NA,222,97.449,81.905
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.794,NA,222,97.449,81.905
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.968,NA,224,97.449,81.905
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.774,NA,420,95.918,78.095
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.765,NA,514,90.816,85.714
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.959,NA,531,90.306,86.667
