"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.585,NA,10,33.333,88.8
"2","GAM_RUN1_AllData","TSS",0.221,NA,10,33.333,88.8
"3","GAM_RUN1_AllData","KAPPA",0.123,NA,10,33.333,88.8
"4","GBM_RUN1_AllData","ROC",0.792,NA,74,100,62.4
"5","GBM_RUN1_AllData","TSS",0.568,NA,71,100,55.2
"6","GBM_RUN1_AllData","KAPPA",0.172,NA,195,50,86.4
"7","RF_RUN1_AllData","ROC",0.733,NA,21,83.333,68.8
"8","RF_RUN1_AllData","TSS",0.521,NA,20,83.333,67.2
"9","RF_RUN1_AllData","KAPPA",0.13,NA,20,83.333,67.2
"10","GAM_RUN2_AllData","ROC",0.628,NA,501.5,33.333,92.8
"11","GAM_RUN2_AllData","TSS",0.261,NA,500,33.333,92.8
"12","GAM_RUN2_AllData","KAPPA",0.187,NA,500,33.333,92.8
"13","GBM_RUN2_AllData","ROC",0.673,NA,110.5,66.667,76
"14","GBM_RUN2_AllData","TSS",0.323,NA,104,66.667,64
"15","GBM_RUN2_AllData","KAPPA",0.301,NA,707.5,33.333,96.8
"16","RF_RUN2_AllData","ROC",0.755,NA,9,100,58.4
"17","RF_RUN2_AllData","TSS",0.568,NA,6,100,56.8
"18","RF_RUN2_AllData","KAPPA",0.336,NA,305,33.333,97.6
"19","GAM_RUN3_AllData","ROC",0.523,NA,1,16.667,89.6
"20","GAM_RUN3_AllData","TSS",0.063,NA,0,100,0
"21","GAM_RUN3_AllData","KAPPA",0.038,NA,0,100,0
"22","GBM_RUN3_AllData","ROC",0.869,NA,115,100,68.8
"23","GBM_RUN3_AllData","TSS",0.68,NA,109,100,68
"24","GBM_RUN3_AllData","KAPPA",0.312,NA,375.5,50,93.6
"25","RF_RUN3_AllData","ROC",0.853,NA,22,100,62.4
"26","RF_RUN3_AllData","TSS",0.624,NA,20,100,60.8
"27","RF_RUN3_AllData","KAPPA",0.377,NA,242.5,33.333,98.4
"28","GAM_RUN4_AllData","ROC",0.679,NA,843.5,50,92.8
"29","GAM_RUN4_AllData","TSS",0.428,NA,843,50,92.8
"30","GAM_RUN4_AllData","KAPPA",0.29,NA,843,50,92.8
"31","GBM_RUN4_AllData","ROC",0.849,NA,324.5,100,68.8
"32","GBM_RUN4_AllData","TSS",0.688,NA,324,100,68.8
"33","GBM_RUN4_AllData","KAPPA",0.272,NA,536.5,33.333,96
"34","RF_RUN4_AllData","ROC",0.825,NA,163,66.667,89.6
"35","RF_RUN4_AllData","TSS",0.563,NA,162,66.667,88.8
"36","RF_RUN4_AllData","KAPPA",0.365,NA,217.5,50,95.2
"37","GAM_RUN5_AllData","ROC",0.623,NA,214,33.333,95.2
"38","GAM_RUN5_AllData","TSS",0.285,NA,217,33.333,95.2
"39","GAM_RUN5_AllData","KAPPA",0.246,NA,217,33.333,95.2
"40","GBM_RUN5_AllData","ROC",0.918,NA,270,100,80.8
"41","GBM_RUN5_AllData","TSS",0.808,NA,269,100,80.8
"42","GBM_RUN5_AllData","KAPPA",0.365,NA,384,50,94.4
"43","RF_RUN5_AllData","ROC",0.825,NA,63,66.667,88
"44","RF_RUN5_AllData","TSS",0.547,NA,63,66.667,88
"45","RF_RUN5_AllData","KAPPA",0.526,NA,148,50,98.4
"46","GAM_RUN6_AllData","ROC",0.644,NA,596.5,33.333,96
"47","GAM_RUN6_AllData","TSS",0.293,NA,596,33.333,96
"48","GAM_RUN6_AllData","KAPPA",0.272,NA,596,33.333,96
"49","GBM_RUN6_AllData","ROC",0.74,NA,373.5,50,92
