"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.692,NA,466.5,68.817,67.01
"2","GAM_RUN1_AllData","TSS",0.357,NA,495,65.591,69.072
"3","GAM_RUN1_AllData","KAPPA",0.329,NA,495,65.591,69.072
"4","GBM_RUN1_AllData","ROC",0.711,NA,552.5,62.903,76.289
"5","GBM_RUN1_AllData","TSS",0.392,NA,552,62.903,76.289
"6","GBM_RUN1_AllData","KAPPA",0.352,NA,552,62.903,76.289
"7","RF_RUN1_AllData","ROC",0.729,NA,589,77.957,57.732
"8","RF_RUN1_AllData","TSS",0.341,NA,595,76.344,57.732
"9","RF_RUN1_AllData","KAPPA",0.338,NA,595,76.344,57.732
"10","GAM_RUN2_AllData","ROC",0.709,NA,561.5,62.366,74.227
"11","GAM_RUN2_AllData","TSS",0.361,NA,550,63.978,72.165
"12","GAM_RUN2_AllData","KAPPA",0.329,NA,550,63.978,72.165
"13","GBM_RUN2_AllData","ROC",0.712,NA,448,74.194,62.887
"14","GBM_RUN2_AllData","TSS",0.37,NA,456,73.118,63.918
"15","GBM_RUN2_AllData","KAPPA",0.36,NA,428,75.806,60.825
"16","RF_RUN2_AllData","ROC",0.713,NA,682,65.591,72.165
"17","RF_RUN2_AllData","TSS",0.373,NA,669,67.204,70.103
"18","RF_RUN2_AllData","KAPPA",0.346,NA,669,67.204,70.103
"19","GAM_RUN3_AllData","ROC",0.742,NA,542.5,60.753,80.412
"20","GAM_RUN3_AllData","TSS",0.412,NA,542,60.753,77.32
"21","GAM_RUN3_AllData","KAPPA",0.366,NA,422,73.118,64.948
"22","GBM_RUN3_AllData","ROC",0.773,NA,587.5,56.989,86.598
"23","GBM_RUN3_AllData","TSS",0.431,NA,585,57.527,84.536
"24","GBM_RUN3_AllData","KAPPA",0.443,NA,363,88.172,52.577
"25","RF_RUN3_AllData","ROC",0.77,NA,647,68.28,75.258
"26","RF_RUN3_AllData","TSS",0.43,NA,643,68.817,74.227
"27","RF_RUN3_AllData","KAPPA",0.407,NA,543,79.032,61.856
"28","GAM_RUN4_AllData","ROC",0.745,NA,580,56.452,84.536
"29","GAM_RUN4_AllData","TSS",0.41,NA,581,56.452,84.536
"30","GAM_RUN4_AllData","KAPPA",0.352,NA,581,56.452,84.536
"31","GBM_RUN4_AllData","ROC",0.775,NA,446.5,74.194,70.103
"32","GBM_RUN4_AllData","TSS",0.443,NA,455,73.118,71.134
"33","GBM_RUN4_AllData","KAPPA",0.42,NA,455,73.118,71.134
"34","RF_RUN4_AllData","ROC",0.763,NA,621,75.806,68.041
"35","RF_RUN4_AllData","TSS",0.435,NA,568,80.645,62.887
"36","RF_RUN4_AllData","KAPPA",0.445,NA,529,86.022,56.701
"37","GAM_RUN5_AllData","ROC",0.741,NA,552,57.527,81.443
"38","GAM_RUN5_AllData","TSS",0.384,NA,558,55.914,82.474
"39","GAM_RUN5_AllData","KAPPA",0.36,NA,420,75.806,60.825
"40","GBM_RUN5_AllData","ROC",0.755,NA,592,59.14,80.412
"41","GBM_RUN5_AllData","TSS",0.396,NA,593,59.14,80.412
"42","GBM_RUN5_AllData","KAPPA",0.392,NA,416,80.645,58.763
"43","RF_RUN5_AllData","ROC",0.78,NA,623,75.806,72.165
"44","RF_RUN5_AllData","TSS",0.475,NA,620,76.344,71.134
"45","RF_RUN5_AllData","KAPPA",0.457,NA,620,76.344,71.134
"46","GAM_RUN6_AllData","ROC",0.728,NA,551.5,62.366,77.32
"47","GAM_RUN6_AllData","TSS",0.392,NA,528,63.978,75.258
"48","GAM_RUN6_AllData","KAPPA",0.355,NA,528,63.978,75.258
"49","GBM_RUN6_AllData","ROC",0.77,NA,554.5,61.828,79.381
"50","GBM_RUN6_AllData","TSS",0.412,NA,556,61.828,79.381
"51","GBM_RUN6_AllData","KAPPA",0.384,NA,360,89.785,45.361
"52","RF_RUN6_AllData","ROC",0.775,NA,697,65.591,76.289
"53","RF_RUN6_AllData","TSS",0.408,NA,694,65.591,75.258
"54","RF_RUN6_AllData","KAPPA",0.387,NA,638,72.581,67.01
"55","GAM_RUN7_AllData","ROC",0.735,NA,580,64.516,79.381
"56","GAM_RUN7_AllData","TSS",0.434,NA,587,63.978,79.381
"57","GAM_RUN7_AllData","KAPPA",0.389,NA,587,63.978,79.381
"58","GBM_RUN7_AllData","ROC",0.742,NA,623,59.14,80.412
"59","GBM_RUN7_AllData","TSS",0.395,NA,628,58.065,81.443
"60","GBM_RUN7_AllData","KAPPA",0.357,NA,436,74.731,61.856
"61","RF_RUN7_AllData","ROC",0.739,NA,591,78.495,58.763
"62","RF_RUN7_AllData","TSS",0.373,NA,590,78.495,58.763
"63","RF_RUN7_AllData","KAPPA",0.373,NA,590,78.495,58.763
"64","GAM_RUN8_AllData","ROC",0.689,NA,609.5,49.462,80.412
"65","GAM_RUN8_AllData","TSS",0.299,NA,610,49.462,80.412
"66","GAM_RUN8_AllData","KAPPA",0.283,NA,412,73.118,55.67
"67","GBM_RUN8_AllData","ROC",0.715,NA,507.5,62.903,74.227
"68","GBM_RUN8_AllData","TSS",0.366,NA,509,62.366,74.227
"69","GBM_RUN8_AllData","KAPPA",0.329,NA,509,62.366,74.227
"70","RF_RUN8_AllData","ROC",0.718,NA,619,73.118,65.979
"71","RF_RUN8_AllData","TSS",0.381,NA,612,73.118,63.918
"72","RF_RUN8_AllData","KAPPA",0.366,NA,612,73.118,63.918
"73","GAM_RUN9_AllData","ROC",0.778,NA,480.5,67.204,77.32
"74","GAM_RUN9_AllData","TSS",0.442,NA,447,70.968,73.196
"75","GAM_RUN9_AllData","KAPPA",0.413,NA,447,70.968,73.196
"76","GBM_RUN9_AllData","ROC",0.785,NA,434,76.882,73.196
"77","GBM_RUN9_AllData","TSS",0.485,NA,435,76.882,73.196
"78","GBM_RUN9_AllData","KAPPA",0.462,NA,435,76.882,73.196
"79","RF_RUN9_AllData","ROC",0.797,NA,492,88.71,58.763
"80","RF_RUN9_AllData","TSS",0.469,NA,496,88.71,58.763
"81","RF_RUN9_AllData","KAPPA",0.493,NA,479,89.785,56.701
"82","GAM_RUN10_AllData","ROC",0.733,NA,568,65.591,74.227
"83","GAM_RUN10_AllData","TSS",0.398,NA,567,65.591,73.196
"84","GAM_RUN10_AllData","KAPPA",0.366,NA,527,69.892,69.072
"85","GBM_RUN10_AllData","ROC",0.784,NA,581,65.591,82.474
"86","GBM_RUN10_AllData","TSS",0.481,NA,580,65.591,81.443
"87","GBM_RUN10_AllData","KAPPA",0.442,NA,527.5,72.043,75.258
"88","RF_RUN10_AllData","ROC",0.786,NA,670,73.656,74.227
"89","RF_RUN10_AllData","TSS",0.479,NA,666,73.656,72.165
"90","RF_RUN10_AllData","KAPPA",0.452,NA,666,73.656,72.165
