"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.859,NA,506,86.364,98.01
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.91,NA,350,100,91.045
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.987,NA,355,100,91.542
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.841,NA,436.5,81.818,98.507
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.91,NA,252,100,91.045
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.987,NA,250,100,91.045
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.849,NA,586.5,88.636,97.015
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.92,NA,453.5,100,92.04
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.986,NA,454,100,92.04
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.881,NA,472,95.455,96.517
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.94,NA,374,100,94.03
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.99,NA,376,100,94.527
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.843,NA,904,84.091,98.01
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.896,NA,611,100,89.552
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.984,NA,611.5,100,89.552
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.859,NA,506,86.364,98.01
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.915,NA,349,100,91.542
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.987,NA,349.5,100,91.542
