"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.682,NA,492,92.916,73.318
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.681,NA,597,84.02,84.081
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.932,NA,597.5,84.02,84.081
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.675,NA,558,82.702,85.65
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.684,NA,601,79.572,88.117
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.934,NA,594,80.395,88.117
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.681,NA,531,93.74,72.646
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.668,NA,557,92.092,74.664
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.928,NA,559,91.928,75.112
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.653,NA,543,87.974,76.906
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.647,NA,543,87.974,76.906
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.904,NA,538.5,88.303,76.682
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.666,NA,217,92.257,72.87
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.688,NA,848,70.181,98.655
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.936,NA,850,70.181,98.655
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.69,NA,494,92.916,74.215
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.683,NA,598,84.02,84.305
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.934,NA,600.5,84.02,84.529
