"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.675,NA,523,76.256,90.508
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.666,NA,505,79.203,87.433
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.916,NA,521.5,76.603,90.508
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.685,NA,468,77.643,90.241
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.677,NA,468,77.643,90.241
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.913,NA,465.5,77.99,89.973
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.673,NA,562,78.163,88.503
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.668,NA,562,78.163,88.503
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.917,NA,559.5,78.683,88.503
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.574,NA,518,72.444,84.358
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.568,NA,518,72.444,84.358
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.869,NA,513.5,73.31,83.824
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.624,NA,848,66.724,93.85
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.615,NA,747,74.177,87.299
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.908,NA,750,74.177,87.299
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.679,NA,523,76.43,90.775
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.67,NA,523,76.43,90.775
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.917,NA,518.5,77.296,90.241
