"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.559,NA,500,16.667,95.2
"2","GAM_RUN1_AllData","TSS",0.119,NA,495,16.667,95.2
"3","GAM_RUN1_AllData","KAPPA",0.11,NA,495,16.667,95.2
"4","GBM_RUN1_AllData","ROC",0.565,NA,722,33.333,99.2
"5","GBM_RUN1_AllData","TSS",0.325,NA,720,33.333,99.2
"6","GBM_RUN1_AllData","KAPPA",0.427,NA,720,33.333,99.2
"7","RF_RUN1_AllData","ROC",0.643,NA,1,100,33.6
"8","RF_RUN1_AllData","TSS",0.336,NA,0,100,0
"9","RF_RUN1_AllData","KAPPA",0.301,NA,293,33.333,96.8
"10","GAM_RUN2_AllData","ROC",0.562,NA,998.5,16.667,98.4
"11","GAM_RUN2_AllData","TSS",0.135,NA,621,16.667,96.8
"12","GAM_RUN2_AllData","KAPPA",0.146,NA,621,16.667,96.8
"13","GBM_RUN2_AllData","ROC",0.774,NA,492.5,66.667,84
"14","GBM_RUN2_AllData","TSS",0.507,NA,492,100,0
"15","GBM_RUN2_AllData","KAPPA",0.365,NA,494,50,92
"16","RF_RUN2_AllData","ROC",0.843,NA,19,100,72
"17","RF_RUN2_AllData","TSS",0.72,NA,19,100,72
"18","RF_RUN2_AllData","KAPPA",0.236,NA,61,50,90.4
"19","GAM_RUN3_AllData","ROC",0.688,NA,95.5,50,94.4
"20","GAM_RUN3_AllData","TSS",0.444,NA,96,50,94.4
"21","GAM_RUN3_AllData","KAPPA",0.337,NA,96,50,94.4
"22","GBM_RUN3_AllData","ROC",0.898,NA,457.5,83.333,92.8
"23","GBM_RUN3_AllData","TSS",0.753,NA,452,83.333,92
"24","GBM_RUN3_AllData","KAPPA",0.44,NA,452,83.333,92
"25","RF_RUN3_AllData","ROC",0.839,NA,101,66.667,90.4
"26","RF_RUN3_AllData","TSS",0.571,NA,101,66.667,90.4
"27","RF_RUN3_AllData","KAPPA",0.434,NA,169,50,96.8
"28","GAM_RUN4_AllData","ROC",0.555,NA,892.5,16.667,99.2
"29","GAM_RUN4_AllData","TSS",0.159,NA,894,16.667,99.2
"30","GAM_RUN4_AllData","KAPPA",0.232,NA,894,16.667,99.2
"31","GBM_RUN4_AllData","ROC",0.815,NA,80.5,100,71.2
"32","GBM_RUN4_AllData","TSS",0.68,NA,76,100,66.4
"33","GBM_RUN4_AllData","KAPPA",0.172,NA,295,33.333,92
"34","RF_RUN4_AllData","ROC",0.752,NA,15,100,60
"35","RF_RUN4_AllData","TSS",0.584,NA,13,100,58.4
"36","RF_RUN4_AllData","KAPPA",0.172,NA,126.5,33.333,92
"37","GAM_RUN5_AllData","ROC",0.552,NA,571.5,16.667,94.4
"38","GAM_RUN5_AllData","TSS",0.111,NA,571,16.667,94.4
"39","GAM_RUN5_AllData","KAPPA",0.096,NA,571,16.667,94.4
"40","GBM_RUN5_AllData","ROC",0.836,NA,166.5,100,67.2
"41","GBM_RUN5_AllData","TSS",0.592,NA,163,100,56
"42","GBM_RUN5_AllData","KAPPA",0.23,NA,239.5,66.667,85.6
"43","RF_RUN5_AllData","ROC",0.767,NA,9,100,55.2
"44","RF_RUN5_AllData","TSS",0.48,NA,5,100,48
"45","RF_RUN5_AllData","KAPPA",0.232,NA,270.5,16.667,99.2
"46","GAM_RUN6_AllData","ROC",0.632,NA,997.5,33.333,96.8
"47","GAM_RUN6_AllData","TSS",0.293,NA,869,33.333,96
"48","GAM_RUN6_AllData","KAPPA",0.272,NA,869,33.333,96
"49","GBM_RUN6_AllData","ROC",0.828,NA,471.5,66.667,96
"50","GBM_RUN6_AllData","TSS",0.627,NA,471.5,66.667,96
"51","GBM_RUN6_AllData","KAPPA",0.506,NA,471.5,66.667,96
"52","RF_RUN6_AllData","ROC",0.831,NA,131,66.667,92.8
"53","RF_RUN6_AllData","TSS",0.587,NA,121.5,66.667,92
"54","RF_RUN6_AllData","KAPPA",0.359,NA,121.5,66.667,92
"55","GAM_RUN7_AllData","ROC",0.566,NA,9.5,33.333,84.8
"56","GAM_RUN7_AllData","TSS",0.181,NA,5,33.333,84.8
"57","GAM_RUN7_AllData","KAPPA",0.083,NA,5,33.333,84.8
"58","GBM_RUN7_AllData","ROC",0.804,NA,76,100,53.6
"59","GBM_RUN7_AllData","TSS",0.536,NA,76,100,53.6
"60","GBM_RUN7_AllData","KAPPA",0.377,NA,437,33.333,98.4
"61","RF_RUN7_AllData","ROC",0.775,NA,27,83.333,67.2
"62","RF_RUN7_AllData","TSS",0.481,NA,25,83.333,64.8
"63","RF_RUN7_AllData","KAPPA",0.195,NA,105,50,88
"64","GAM_RUN8_AllData","ROC",0.634,NA,719.5,33.333,96
"65","GAM_RUN8_AllData","TSS",0.293,NA,717,33.333,96
"66","GAM_RUN8_AllData","KAPPA",0.272,NA,717,33.333,96
"67","GBM_RUN8_AllData","ROC",0.642,NA,454.5,50,95.2
"68","GBM_RUN8_AllData","TSS",0.452,NA,455,50,95.2
"69","GBM_RUN8_AllData","KAPPA",0.365,NA,455,50,95.2
"70","RF_RUN8_AllData","ROC",0.68,NA,9,100,44.8
"71","RF_RUN8_AllData","TSS",0.448,NA,9,100,44.8
"72","RF_RUN8_AllData","KAPPA",0.198,NA,288,16.667,98.4
"73","GAM_RUN9_AllData","ROC",0.641,NA,3.5,50,82.4
"74","GAM_RUN9_AllData","TSS",0.3,NA,0,100,0
"75","GAM_RUN9_AllData","KAPPA",0.17,NA,985,16.667,97.6
"76","GBM_RUN9_AllData","ROC",0.907,NA,250.5,100,72
