"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.825,NA,346,88.136,64.516
"2","GAM_RUN1_AllData","TSS",0.527,NA,345,88.136,64.516
"3","GAM_RUN1_AllData","KAPPA",0.543,NA,345,88.136,64.516
"4","GBM_RUN1_AllData","ROC",0.801,NA,451.5,84.746,64.516
"5","GBM_RUN1_AllData","TSS",0.493,NA,450,84.746,64.516
"6","GBM_RUN1_AllData","KAPPA",0.52,NA,328,93.22,54.839
"7","RF_RUN1_AllData","ROC",0.822,NA,418,91.525,61.29
"8","RF_RUN1_AllData","TSS",0.528,NA,415,91.525,61.29
"9","RF_RUN1_AllData","KAPPA",0.567,NA,330,96.61,54.839
"10","GAM_RUN2_AllData","ROC",0.801,NA,866,54.237,96.774
"11","GAM_RUN2_AllData","TSS",0.493,NA,873,52.542,96.774
"12","GAM_RUN2_AllData","KAPPA",0.409,NA,873,52.542,96.774
"13","GBM_RUN2_AllData","ROC",0.855,NA,514,84.746,77.419
"14","GBM_RUN2_AllData","TSS",0.622,NA,513,84.746,77.419
"15","GBM_RUN2_AllData","KAPPA",0.612,NA,513,84.746,77.419
"16","RF_RUN2_AllData","ROC",0.877,NA,669,81.356,77.419
"17","RF_RUN2_AllData","TSS",0.572,NA,623,83.051,74.194
"18","RF_RUN2_AllData","KAPPA",0.597,NA,365,96.61,58.065
"19","GAM_RUN3_AllData","ROC",0.773,NA,954.5,57.627,83.871
"20","GAM_RUN3_AllData","TSS",0.406,NA,798,72.881,67.742
"21","GAM_RUN3_AllData","KAPPA",0.406,NA,111,96.61,38.71
"22","GBM_RUN3_AllData","ROC",0.745,NA,511.5,88.136,54.839
"23","GBM_RUN3_AllData","TSS",0.423,NA,643,74.576,67.742
"24","GBM_RUN3_AllData","KAPPA",0.433,NA,516,86.441,54.839
"25","RF_RUN3_AllData","ROC",0.735,NA,524,91.525,51.613
"26","RF_RUN3_AllData","TSS",0.431,NA,526,91.525,51.613
"27","RF_RUN3_AllData","KAPPA",0.467,NA,526,91.525,51.613
"28","GAM_RUN4_AllData","ROC",0.738,NA,304.5,86.441,58.065
"29","GAM_RUN4_AllData","TSS",0.445,NA,302,86.441,58.065
"30","GAM_RUN4_AllData","KAPPA",0.463,NA,302,86.441,58.065
"31","GBM_RUN4_AllData","ROC",0.803,NA,428,81.356,67.742
"32","GBM_RUN4_AllData","TSS",0.489,NA,472,77.966,70.968
"33","GBM_RUN4_AllData","KAPPA",0.475,NA,472,77.966,70.968
"34","RF_RUN4_AllData","ROC",0.808,NA,619,77.966,77.419
"35","RF_RUN4_AllData","TSS",0.522,NA,614,79.661,74.194
"36","RF_RUN4_AllData","KAPPA",0.508,NA,539,83.051,67.742
"37","GAM_RUN5_AllData","ROC",0.883,NA,307.5,89.831,74.194
"38","GAM_RUN5_AllData","TSS",0.639,NA,323,86.441,77.419
"39","GAM_RUN5_AllData","KAPPA",0.634,NA,323,86.441,77.419
"40","GBM_RUN5_AllData","ROC",0.881,NA,521,79.661,87.097
"41","GBM_RUN5_AllData","TSS",0.668,NA,523,79.661,87.097
"42","GBM_RUN5_AllData","KAPPA",0.656,NA,443,88.136,77.419
"43","RF_RUN5_AllData","ROC",0.875,NA,486,88.136,83.871
"44","RF_RUN5_AllData","TSS",0.72,NA,482,88.136,80.645
"45","RF_RUN5_AllData","KAPPA",0.709,NA,482,88.136,80.645
"46","GAM_RUN6_AllData","ROC",0.878,NA,425,84.746,80.645
"47","GAM_RUN6_AllData","TSS",0.637,NA,430,83.051,80.645
"48","GAM_RUN6_AllData","KAPPA",0.618,NA,430,83.051,80.645
"49","GBM_RUN6_AllData","ROC",0.872,NA,586.5,81.356,83.871
"50","GBM_RUN6_AllData","TSS",0.652,NA,583,81.356,83.871
"51","GBM_RUN6_AllData","KAPPA",0.624,NA,583,81.356,83.871
"52","RF_RUN6_AllData","ROC",0.887,NA,678,81.356,83.871
"53","RF_RUN6_AllData","TSS",0.652,NA,677,81.356,83.871
