"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.165,0.089,0.177,0.12,0.076,0.142,0.142,0.09,0.124,0.128,0.108,0.136,0.142,0.098,0.17,0.09,0.096,0.143,0.104,0.052,0.104,0.107,0.088,0.13,0.192,0.134,0.193,0.125,0.092,0.132
"lag_sst",0.109,0.067,0.166,0.135,0.073,0.133,0.139,0.096,0.174,0.102,0.093,0.187,0.114,0.062,0.182,0.155,0.088,0.176,0.095,0.044,0.134,0.116,0.075,0.154,0.149,0.07,0.182,0.114,0.08,0.15
"int_chl",0.702,0.823,0.786,0.705,0.804,0.771,0.683,0.8,0.768,0.683,0.764,0.767,0.712,0.781,0.742,0.72,0.767,0.731,0.62,0.792,0.73,0.635,0.774,0.762,0.568,0.689,0.697,0.611,0.734,0.715
"sss",0.193,0.169,0.193,0.264,0.194,0.264,0.254,0.163,0.237,0.253,0.172,0.229,0.206,0.155,0.197,0.25,0.173,0.229,0.408,0.247,0.274,0.348,0.225,0.26,0.285,0.174,0.187,0.38,0.209,0.261
