"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.098,0.115,0.203,0.1,0.102,0.184,0.091,0.089,0.179,0.11,0.114,0.188,0.157,0.13,0.22,0.115,0.112,0.18,0.1,0.104,0.181,0.101,0.116,0.206,0.1,0.129,0.209,0.091,0.109,0.189
"lag_sst",0.537,0.539,0.535,0.398,0.402,0.441,0.482,0.437,0.494,0.509,0.518,0.512,0.493,0.51,0.532,0.478,0.471,0.496,0.542,0.535,0.536,0.43,0.399,0.444,0.529,0.534,0.511,0.398,0.437,0.456
"int_chl",0.302,0.362,0.384,0.495,0.525,0.485,0.401,0.42,0.428,0.329,0.362,0.377,0.32,0.35,0.358,0.364,0.405,0.375,0.308,0.315,0.339,0.396,0.451,0.456,0.257,0.321,0.35,0.367,0.429,0.413
"sss",0.079,0.031,0.112,0.041,0.061,0.132,0.047,0.078,0.168,0.06,0.046,0.121,0.033,0.037,0.114,0.038,0.042,0.116,0.04,0.048,0.135,0.074,0.076,0.157,0.118,0.044,0.123,0.14,0.047,0.14
