"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.673,NA,514,77.123,89.439
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.666,NA,514,77.123,89.439
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.917,NA,509.5,77.816,89.171
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.678,NA,477,76.256,90.642
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.669,NA,477,76.256,90.642
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.914,NA,464.5,77.816,89.706
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.667,NA,560,77.47,88.503
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.662,NA,551,79.029,86.898
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.919,NA,553.5,78.856,87.701
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.566,NA,509,74.177,82.353
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.565,NA,491,76.95,79.679
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.871,NA,493.5,76.603,80.08
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.681,NA,818,74.35,92.513
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.669,NA,818,74.35,92.513
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.914,NA,816.5,74.35,92.513
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.678,NA,522,76.256,90.374
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.669,NA,522,76.256,90.374
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.918,NA,508.5,77.99,89.171
