"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.727,NA,567.5,61.29,77.32
"2","GAM_RUN1_AllData","TSS",0.386,NA,567,61.29,77.32
"3","GAM_RUN1_AllData","KAPPA",0.346,NA,527,65.591,72.165
"4","GBM_RUN1_AllData","ROC",0.73,NA,623.5,61.29,78.351
"5","GBM_RUN1_AllData","TSS",0.387,NA,606,62.366,76.289
"6","GBM_RUN1_AllData","KAPPA",0.357,NA,462,73.118,60.825
"7","RF_RUN1_AllData","ROC",0.743,NA,692,69.892,73.196
"8","RF_RUN1_AllData","TSS",0.431,NA,690,69.892,70.103
"9","RF_RUN1_AllData","KAPPA",0.401,NA,690,69.892,70.103
"10","GAM_RUN2_AllData","ROC",0.731,NA,438.5,75.806,63.918
"11","GAM_RUN2_AllData","TSS",0.392,NA,439,75.806,63.918
"12","GAM_RUN2_AllData","KAPPA",0.382,NA,439,75.806,63.918
"13","GBM_RUN2_AllData","ROC",0.739,NA,485.5,67.204,72.165
"14","GBM_RUN2_AllData","TSS",0.391,NA,442,73.118,65.979
"15","GBM_RUN2_AllData","KAPPA",0.375,NA,442,73.118,65.979
"16","RF_RUN2_AllData","ROC",0.728,NA,683,66.667,73.196
"17","RF_RUN2_AllData","TSS",0.399,NA,683,66.667,73.196
"18","RF_RUN2_AllData","KAPPA",0.366,NA,683,66.667,73.196
"19","GAM_RUN3_AllData","ROC",0.692,NA,499.5,69.892,62.887
"20","GAM_RUN3_AllData","TSS",0.328,NA,499,69.892,61.856
"21","GAM_RUN3_AllData","KAPPA",0.312,NA,499,69.892,61.856
"22","GBM_RUN3_AllData","ROC",0.732,NA,451,77.957,63.918
"23","GBM_RUN3_AllData","TSS",0.408,NA,447,78.495,61.856
"24","GBM_RUN3_AllData","KAPPA",0.403,NA,447,78.495,61.856
"25","RF_RUN3_AllData","ROC",0.713,NA,761,54.301,79.381
"26","RF_RUN3_AllData","TSS",0.326,NA,622,79.032,53.608
"27","RF_RUN3_AllData","KAPPA",0.334,NA,594,81.72,50.515
"28","GAM_RUN4_AllData","ROC",0.711,NA,466.5,70.43,62.887
