"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.804,NA,617,81.159,96.739
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.813,NA,564,88.406,92.391
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.972,NA,456,95.652,85.87
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.804,NA,538,81.159,96.739
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.801,NA,432,89.855,90.217
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.972,NA,358,95.652,84.783
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.804,NA,649,88.406,92.935
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.819,NA,649,88.406,92.935
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.97,NA,649.5,88.406,93.478
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.839,NA,615,86.957,96.196
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.862,NA,490,97.101,88.587
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.979,NA,493,97.101,89.13
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.823,NA,949,81.159,97.826
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.826,NA,848,91.304,91.304
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.973,NA,850,91.304,91.304
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.804,NA,617,81.159,96.739
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.815,NA,458,95.652,85.87
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.973,NA,456,95.652,85.87
