"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.04,0.028,0.076,0.06,0.046,0.087,0.059,0.025,0.084,0.04,0.039,0.089,0.051,0.038,0.091,0.036,0.035,0.072,0.034,0.024,0.078,0.066,0.038,0.085,0.038,0.042,0.089,0.037,0.032,0.072
"lag_sst",0.662,0.775,0.793,0.722,0.798,0.773,0.711,0.828,0.78,0.737,0.799,0.759,0.68,0.803,0.738,0.746,0.795,0.744,0.598,0.722,0.765,0.756,0.782,0.756,0.84,0.846,0.798,0.658,0.776,0.752
"int_chl",0.224,0.262,0.29,0.251,0.237,0.32,0.244,0.243,0.309,0.21,0.21,0.302,0.255,0.27,0.35,0.206,0.254,0.31,0.236,0.235,0.314,0.271,0.258,0.313,0.173,0.196,0.264,0.214,0.237,0.296
"sss",0.183,0.087,0.212,0.195,0.142,0.251,0.208,0.093,0.209,0.143,0.078,0.205,0.245,0.123,0.221,0.171,0.102,0.219,0.291,0.131,0.231,0.156,0.078,0.185,0.106,0.085,0.218,0.214,0.104,0.249
