"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.731,0.13,0.285,0.585,0.057,0.312,0.449,0.04,0.268,0.553,0.095,0.276,0.608,0.215,0.346,0.69,0.204,0.185,0.641,0.168,0.319,0.708,0.076,0.303,0.258,0.04,0.344,0.731,0.043,0.266
"lag_sst",0.742,0.827,0.393,0.815,0.567,0.147,0.645,0.41,0.148,0.739,0.593,0.323,0.707,0.556,0.34,0.734,0.532,0.306,0.667,0.663,0.43,0.748,0.766,0.251,0.503,0.383,0.201,0.729,0.537,0.164
"int_chl",0.546,0.302,0.447,0.674,0.563,0.634,0.78,0.48,0.632,0.711,0.539,0.643,0.737,0.669,0.617,0.563,0.438,0.597,0.706,0.489,0.539,0.572,0.367,0.469,0.633,0.609,0.663,0.706,0.44,0.551
"sss",0.487,0.026,0.054,0.647,0.192,0.077,0.541,0.175,0.075,0.53,0.072,0.082,0.709,0.091,0.143,0.643,0.088,0.112,0.652,0.146,0.162,0.659,0.113,0.137,0.487,0.206,0.088,0.576,0.222,0.083
