"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.079,0.078,0.129,0.057,0.057,0.096,0.053,0.054,0.099,0.042,0.052,0.095,0.013,0.029,0.082,0.026,0.039,0.097,0.061,0.067,0.119,0.058,0.054,0.104,0.091,0.078,0.113,0.08,0.071,0.115
"lag_sst",0.591,0.452,0.474,0.593,0.489,0.444,0.604,0.479,0.477,0.642,0.455,0.435,0.544,0.379,0.369,0.568,0.449,0.417,0.563,0.447,0.421,0.552,0.453,0.449,0.555,0.429,0.41,0.538,0.399,0.415
"int_chl",0.455,0.583,0.531,0.472,0.568,0.548,0.457,0.565,0.498,0.427,0.567,0.551,0.499,0.634,0.597,0.465,0.588,0.543,0.456,0.569,0.532,0.5,0.601,0.561,0.478,0.601,0.547,0.51,0.608,0.543
"sss",0.069,0.008,0.072,0.088,0.02,0.084,0.064,0.012,0.083,0.07,0.01,0.076,0.06,0.021,0.104,0.041,0.009,0.075,0.06,0.017,0.085,0.047,0.01,0.074,0.073,0.023,0.092,0.052,0.011,0.082
