"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.084,0.075,0.111,0.15,0.142,0.196,0.165,0.115,0.171,0.118,0.056,0.075,0.161,0.114,0.13,0.137,0.071,0.081,0.069,0.077,0.102,0.077,0.054,0.087,0.091,0.057,0.105,0.095,0.059,0.086
"lag_sst",0.603,0.789,0.682,0.658,0.697,0.656,0.557,0.76,0.617,0.807,0.827,0.699,0.522,0.721,0.676,0.571,0.771,0.737,0.595,0.786,0.719,0.623,0.792,0.706,0.533,0.792,0.763,0.583,0.765,0.659
"int_chl",0.413,0.374,0.309,0.407,0.413,0.353,0.411,0.398,0.399,0.439,0.375,0.346,0.415,0.433,0.386,0.439,0.4,0.386,0.421,0.399,0.346,0.407,0.371,0.328,0.422,0.335,0.339,0.404,0.39,0.351
"sss",0.16,0.139,0.123,0.172,0.101,0.122,0.217,0.131,0.148,0.225,0.195,0.222,0.326,0.109,0.144,0.297,0.146,0.17,0.268,0.171,0.181,0.238,0.108,0.118,0.259,0.127,0.164,0.166,0.114,0.131
