"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.112,0.06,0.092,0.086,0.09,0.097,0.082,0.076,0.082,0.071,0.063,0.076,0.096,0.114,0.144,0.194,0.153,0.176,0.181,0.139,0.18,0.099,0.08,0.101,0.209,0.095,0.099,0.147,0.155,0.177
"lag_sst",0.66,0.789,0.673,0.606,0.799,0.75,0.623,0.785,0.662,0.64,0.742,0.662,0.605,0.751,0.713,0.531,0.732,0.69,0.563,0.733,0.637,0.614,0.755,0.747,0.682,0.762,0.658,0.55,0.736,0.689
"int_chl",0.352,0.322,0.303,0.384,0.363,0.36,0.371,0.329,0.296,0.39,0.355,0.332,0.437,0.432,0.391,0.377,0.368,0.4,0.424,0.379,0.366,0.41,0.32,0.306,0.473,0.398,0.375,0.407,0.371,0.355
"sss",0.234,0.184,0.197,0.264,0.126,0.137,0.324,0.224,0.227,0.213,0.153,0.16,0.197,0.127,0.137,0.333,0.123,0.139,0.335,0.2,0.183,0.281,0.238,0.227,0.195,0.169,0.18,0.213,0.184,0.181
