"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.7,NA,492,87.371,82.443
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.702,NA,492,87.371,82.443
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.938,NA,415.5,93.375,77.099
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.693,NA,509,80.124,88.74
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.694,NA,436,87.578,82.061
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.94,NA,432.5,87.785,81.87
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.703,NA,530,89.234,81.107
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.708,NA,428,95.652,75.191
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.935,NA,424,95.859,75.191
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.67,NA,390,92.754,74.618
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.676,NA,390,92.754,74.618
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.917,NA,399,92.547,75.382
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.722,NA,818,79.089,92.748
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.718,NA,818,79.089,92.748
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.951,NA,816.5,79.089,92.748
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.698,NA,493,87.371,82.252
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.7,NA,383,95.031,75
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.938,NA,415.5,93.375,76.908
