"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.805,NA,462.5,85.294,66.142
"2","GAM_RUN1_AllData","TSS",0.514,NA,462,85.294,66.142
"3","GAM_RUN1_AllData","KAPPA",0.422,NA,653,66.176,81.496
"4","GBM_RUN1_AllData","ROC",0.84,NA,473,86.765,71.26
"5","GBM_RUN1_AllData","TSS",0.58,NA,473,86.765,71.26
"6","GBM_RUN1_AllData","KAPPA",0.444,NA,617,69.118,81.496
"7","RF_RUN1_AllData","ROC",0.873,NA,255,85.294,74.803
"8","RF_RUN1_AllData","TSS",0.599,NA,231,88.235,71.654
"9","RF_RUN1_AllData","KAPPA",0.538,NA,431.5,60.294,91.732
"10","GAM_RUN2_AllData","ROC",0.803,NA,494,77.941,71.654
"11","GAM_RUN2_AllData","TSS",0.496,NA,492,77.941,71.654
"12","GAM_RUN2_AllData","KAPPA",0.453,NA,693,57.353,88.189
"13","GBM_RUN2_AllData","ROC",0.843,NA,452,77.941,77.559
"14","GBM_RUN2_AllData","TSS",0.555,NA,450,77.941,77.559
"15","GBM_RUN2_AllData","KAPPA",0.499,NA,637,57.353,90.945
"16","RF_RUN2_AllData","ROC",0.833,NA,186,82.353,74.409
"17","RF_RUN2_AllData","TSS",0.56,NA,179,82.353,73.622
"18","RF_RUN2_AllData","KAPPA",0.449,NA,239,72.059,80.315
"19","GAM_RUN3_AllData","ROC",0.799,NA,496.5,82.353,71.26
"20","GAM_RUN3_AllData","TSS",0.535,NA,483,83.824,69.685
"21","GAM_RUN3_AllData","KAPPA",0.403,NA,524,76.471,74.409
"22","GBM_RUN3_AllData","ROC",0.83,NA,373,89.706,65.354
"23","GBM_RUN3_AllData","TSS",0.551,NA,370,89.706,64.961
"24","GBM_RUN3_AllData","KAPPA",0.427,NA,550,73.529,77.953
"25","RF_RUN3_AllData","ROC",0.842,NA,271,76.471,78.74
"26","RF_RUN3_AllData","TSS",0.543,NA,258,77.941,75.591
"27","RF_RUN3_AllData","KAPPA",0.512,NA,368,66.176,87.795
"28","GAM_RUN4_AllData","ROC",0.774,NA,396,86.765,59.449
"29","GAM_RUN4_AllData","TSS",0.462,NA,399,86.765,59.449
"30","GAM_RUN4_AllData","KAPPA",0.374,NA,578,64.706,78.346
"31","GBM_RUN4_AllData","ROC",0.81,NA,378.5,88.235,68.504
"32","GBM_RUN4_AllData","TSS",0.567,NA,381,88.235,68.504
"33","GBM_RUN4_AllData","KAPPA",0.437,NA,480.5,79.412,75.591
"34","RF_RUN4_AllData","ROC",0.804,NA,155,85.294,66.535
"35","RF_RUN4_AllData","TSS",0.518,NA,154,85.294,66.535
"36","RF_RUN4_AllData","KAPPA",0.433,NA,299,69.118,80.709
"37","GAM_RUN5_AllData","ROC",0.801,NA,531.5,83.824,69.291
"38","GAM_RUN5_AllData","TSS",0.527,NA,530,83.824,68.898
"39","GAM_RUN5_AllData","KAPPA",0.428,NA,690,61.765,84.252
"40","GBM_RUN5_AllData","ROC",0.832,NA,400.5,88.235,68.504
"41","GBM_RUN5_AllData","TSS",0.567,NA,398,88.235,67.717
"42","GBM_RUN5_AllData","KAPPA",0.458,NA,563,76.471,78.346
"43","RF_RUN5_AllData","ROC",0.857,NA,225,89.706,74.409
"44","RF_RUN5_AllData","TSS",0.637,NA,223,89.706,74.016
"45","RF_RUN5_AllData","KAPPA",0.484,NA,223,89.706,74.016
"46","GAM_RUN6_AllData","ROC",0.794,NA,365,92.647,60.236
"47","GAM_RUN6_AllData","TSS",0.525,NA,360,92.647,59.449
"48","GAM_RUN6_AllData","KAPPA",0.362,NA,721,44.118,89.764
"49","GBM_RUN6_AllData","ROC",0.846,NA,379,91.176,71.654
"50","GBM_RUN6_AllData","TSS",0.628,NA,380,91.176,71.654
"51","GBM_RUN6_AllData","KAPPA",0.465,NA,402,88.235,73.228
"52","RF_RUN6_AllData","ROC",0.869,NA,220,86.765,73.622
"53","RF_RUN6_AllData","TSS",0.603,NA,199,88.235,72.047
"54","RF_RUN6_AllData","KAPPA",0.505,NA,356,66.176,87.008
"55","GAM_RUN7_AllData","ROC",0.756,NA,392.5,86.765,60.236
"56","GAM_RUN7_AllData","TSS",0.47,NA,392,86.765,60.236
"57","GAM_RUN7_AllData","KAPPA",0.325,NA,613,58.824,78.346
"58","GBM_RUN7_AllData","ROC",0.799,NA,474.5,80.882,72.441
"59","GBM_RUN7_AllData","TSS",0.525,NA,465,80.882,71.654
"60","GBM_RUN7_AllData","KAPPA",0.403,NA,495,76.471,74.409
"61","RF_RUN7_AllData","ROC",0.795,NA,214,80.882,72.835
"62","RF_RUN7_AllData","TSS",0.53,NA,226,79.412,73.622
"63","RF_RUN7_AllData","KAPPA",0.433,NA,301,73.529,78.346
"64","GAM_RUN8_AllData","ROC",0.812,NA,524,85.294,70.079
"65","GAM_RUN8_AllData","TSS",0.55,NA,517,85.294,69.291
"66","GAM_RUN8_AllData","KAPPA",0.413,NA,547,82.353,72.047
"67","GBM_RUN8_AllData","ROC",0.833,NA,387,89.706,65.354
"68","GBM_RUN8_AllData","TSS",0.551,NA,386,89.706,64.961
"69","GBM_RUN8_AllData","KAPPA",0.428,NA,627.5,57.353,86.614
"70","RF_RUN8_AllData","ROC",0.847,NA,219,82.353,71.26
"71","RF_RUN8_AllData","TSS",0.535,NA,215,83.824,69.685
"72","RF_RUN8_AllData","KAPPA",0.5,NA,496.5,48.529,95.276
"73","GAM_RUN9_AllData","ROC",0.84,NA,478,89.706,71.26
"74","GAM_RUN9_AllData","TSS",0.606,NA,474,89.706,70.472
"75","GAM_RUN9_AllData","KAPPA",0.445,NA,483,88.235,71.654
"76","GBM_RUN9_AllData","ROC",0.856,NA,327,91.176,65.354
"77","GBM_RUN9_AllData","TSS",0.563,NA,354,88.235,68.11
"78","GBM_RUN9_AllData","KAPPA",0.497,NA,593,67.647,85.433
"79","RF_RUN9_AllData","ROC",0.856,NA,218,77.941,77.953
"80","RF_RUN9_AllData","TSS",0.558,NA,138,89.706,65.748
