"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.736,NA,520,85.965,87.179
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.736,NA,520,85.965,87.179
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.953,NA,533.5,85.088,88.889
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.749,NA,475,84.211,89.316
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.748,NA,475,84.211,89.316
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.953,NA,477,84.211,90.598
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.74,NA,592,85.088,88.889
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.74,NA,592,85.088,88.889
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.952,NA,597.5,85.088,89.316
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.749,NA,559,82.895,91.88
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.748,NA,559,82.895,91.88
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.953,NA,554,83.333,91.453
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.77,NA,682,83.333,93.59
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.769,NA,682,83.333,93.59
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.96,NA,683.5,83.333,93.59
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.749,NA,529,85.965,88.889
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.749,NA,529,85.965,88.889
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.956,NA,531,85.965,88.889
