"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.76,NA,462,90.821,85.78
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.761,NA,462,90.821,85.78
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.956,NA,465.5,90.338,86.697
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.755,NA,422,87.923,87.615
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.755,NA,422,87.923,87.615
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.955,NA,420,87.923,87.615
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.765,NA,505,92.271,83.945
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.767,NA,505,92.271,83.945
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.956,NA,506.5,92.271,84.404
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.779,NA,457,91.787,86.239
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.78,NA,457,91.787,86.239
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.955,NA,470,91.304,87.156
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.784,NA,313,92.271,86.239
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.785,NA,313,92.271,86.239
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.965,NA,316.5,92.271,86.239
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.77,NA,462,90.821,86.239
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.77,NA,462,90.821,86.239
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.957,NA,461,90.821,86.239
