"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.794,NA,81,87.5,59.355
"2","GAM_RUN1_AllData","TSS",0.469,NA,80,87.5,59.355
"3","GAM_RUN1_AllData","KAPPA",0.249,NA,818,34.375,91.935
"4","GBM_RUN1_AllData","ROC",0.816,NA,386,68.75,84.516
"5","GBM_RUN1_AllData","TSS",0.529,NA,384,68.75,84.194
"6","GBM_RUN1_AllData","KAPPA",0.354,NA,472,56.25,89.032
"7","RF_RUN1_AllData","ROC",0.822,NA,87,71.875,79.677
"8","RF_RUN1_AllData","TSS",0.506,NA,83,71.875,78.71
"9","RF_RUN1_AllData","KAPPA",0.355,NA,202,43.75,93.226
"10","GAM_RUN2_AllData","ROC",0.868,NA,524,84.375,77.419
"11","GAM_RUN2_AllData","TSS",0.615,NA,335,93.75,67.742
"12","GAM_RUN2_AllData","KAPPA",0.407,NA,703.5,65.625,88.71
"13","GBM_RUN2_AllData","ROC",0.889,NA,273,93.75,70.968
"14","GBM_RUN2_AllData","TSS",0.647,NA,271,93.75,70.645
"15","GBM_RUN2_AllData","KAPPA",0.473,NA,618,53.125,94.839
"16","RF_RUN2_AllData","ROC",0.872,NA,97,81.25,79.355
"17","RF_RUN2_AllData","TSS",0.596,NA,94,81.25,78.065
"18","RF_RUN2_AllData","KAPPA",0.409,NA,372.5,37.5,97.097
"19","GAM_RUN3_AllData","ROC",0.829,NA,290.5,84.375,67.097
"20","GAM_RUN3_AllData","TSS",0.508,NA,283,84.375,66.452
"21","GAM_RUN3_AllData","KAPPA",0.365,NA,736,50,91.613
"22","GBM_RUN3_AllData","ROC",0.863,NA,323.5,78.125,76.774
"23","GBM_RUN3_AllData","TSS",0.543,NA,321,78.125,76.129
"24","GBM_RUN3_AllData","KAPPA",0.482,NA,571,59.375,93.226
"25","RF_RUN3_AllData","ROC",0.881,NA,83,90.625,74.516
"26","RF_RUN3_AllData","TSS",0.651,NA,82,90.625,74.194
"27","RF_RUN3_AllData","KAPPA",0.412,NA,213,50,93.548
"28","GAM_RUN4_AllData","ROC",0.8,NA,334,84.375,65.161
"29","GAM_RUN4_AllData","TSS",0.495,NA,333,84.375,65.161
"30","GAM_RUN4_AllData","KAPPA",0.298,NA,696,62.5,83.548
"31","GBM_RUN4_AllData","ROC",0.863,NA,426.5,78.125,83.226
"32","GBM_RUN4_AllData","TSS",0.614,NA,424,78.125,83.226
"33","GBM_RUN4_AllData","KAPPA",0.429,NA,592,62.5,90.645
"34","RF_RUN4_AllData","ROC",0.869,NA,131,78.125,81.935
"35","RF_RUN4_AllData","TSS",0.597,NA,126,78.125,81.29
"36","RF_RUN4_AllData","KAPPA",0.458,NA,270,50,95.161
"37","GAM_RUN5_AllData","ROC",0.833,NA,556.5,81.25,78.065
