"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.144,0.107,0.12,0.086,0.074,0.12,0.364,0.125,0.18,0.149,0.066,0.11,0.327,0.054,0.106,0.203,0.072,0.108,0.259,0.137,0.153,0.093,0.119,0.138,0.048,0.092,0.128,0.229,0.112,0.118
"lag_sst",0.435,0.452,0.348,0.433,0.455,0.396,0.356,0.454,0.326,0.289,0.478,0.328,0.439,0.554,0.405,0.225,0.462,0.366,0.294,0.368,0.264,0.337,0.458,0.309,0.386,0.469,0.334,0.524,0.533,0.41
"int_chl",0.495,0.232,0.229,0.46,0.227,0.275,0.495,0.224,0.255,0.431,0.198,0.258,0.423,0.076,0.138,0.531,0.209,0.263,0.523,0.227,0.273,0.427,0.224,0.289,0.368,0.276,0.278,0.513,0.178,0.219
"sss",0.461,0.355,0.301,0.339,0.307,0.266,0.266,0.368,0.266,0.323,0.378,0.274,0.417,0.484,0.384,0.345,0.402,0.29,0.485,0.389,0.326,0.358,0.351,0.267,0.451,0.273,0.198,0.446,0.546,0.369
