"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.134,0.044,0.187,0.167,0.022,0.146,0.126,0.049,0.165,0.214,0.074,0.182,0.083,0.03,0.138,0.156,0.029,0.129,0.201,0.053,0.183,0.264,0.043,0.155,0.206,0.055,0.126,0.108,0.019,0.116
"lag_sst",0.221,0.19,0.457,0.263,0.286,0.498,0.001,0.182,0.421,0,0.193,0.462,0.367,0.347,0.561,0.27,0.218,0.469,0,0.216,0.488,0.301,0.296,0.5,0.325,0.229,0.477,0.495,0.386,0.496
"int_chl",0.444,0.528,0.568,0.383,0.485,0.541,0.355,0.481,0.573,0.438,0.505,0.534,0.414,0.45,0.512,0.426,0.486,0.497,0.475,0.55,0.601,0.401,0.598,0.569,0.378,0.528,0.515,0.37,0.562,0.521
"sss",0.457,0.389,0.37,0.378,0.304,0.273,0.634,0.379,0.258,0.534,0.362,0.242,0.373,0.368,0.38,0.434,0.32,0.292,0.543,0.318,0.331,0.365,0.199,0.225,0.379,0.362,0.281,0.455,0.253,0.294
