"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.79,NA,551,91.304,91.304
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.826,NA,551,91.304,91.304
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.971,NA,536.5,92.754,90.217
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.797,NA,573.5,75.362,98.913
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.826,NA,389,95.652,86.957
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.974,NA,389.5,95.652,86.957
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.78,NA,621,89.855,91.304
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.813,NA,598.5,92.754,88.587
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.968,NA,618.5,91.304,91.304
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.817,NA,577,91.304,92.935
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.85,NA,476,98.551,86.413
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.98,NA,483.5,98.551,87.5
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.822,NA,949,79.71,98.37
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.855,NA,848,94.203,91.304
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.978,NA,850,94.203,91.304
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.79,NA,546.5,91.304,91.304
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.83,NA,534,92.754,90.217
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.972,NA,535,92.754,90.217
