"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.085,0.038,0.139,0.094,0.094,0.228,0.1,0.08,0.148,0.161,0.067,0.169,0.12,0.044,0.152,0.066,0.077,0.161,0.076,0.086,0.179,0.096,0.069,0.147,0.011,0.046,0.136,0.096,0.089,0.164
"lag_sst",0.222,0.316,0.348,0.398,0.299,0.266,0.193,0.271,0.337,0.289,0.279,0.316,0.22,0.247,0.306,0.233,0.23,0.268,0.229,0.243,0.256,0.213,0.242,0.335,0.314,0.324,0.357,0.211,0.178,0.267
"int_chl",0.732,0.72,0.716,0.701,0.746,0.76,0.76,0.754,0.72,0.705,0.757,0.715,0.826,0.773,0.764,0.756,0.804,0.742,0.689,0.722,0.706,0.727,0.754,0.699,0.782,0.729,0.731,0.773,0.813,0.726
"sss",0.24,0.222,0.293,0.111,0.128,0.188,0.145,0.113,0.18,0.11,0.145,0.22,0.148,0.136,0.243,0.149,0.159,0.266,0.268,0.244,0.282,0.155,0.135,0.233,0.179,0.123,0.217,0.158,0.165,0.227
