"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.875,NA,584.5,78.571,85.93
"2","GAM_RUN1_AllData","TSS",0.645,NA,586,78.571,85.93
"3","GAM_RUN1_AllData","KAPPA",0.585,NA,586,78.571,85.93
"4","GBM_RUN1_AllData","ROC",0.875,NA,541,73.214,87.94
"5","GBM_RUN1_AllData","TSS",0.612,NA,541,73.214,87.94
"6","GBM_RUN1_AllData","KAPPA",0.578,NA,541,73.214,87.94
"7","RF_RUN1_AllData","ROC",0.842,NA,221,75,81.91
"8","RF_RUN1_AllData","TSS",0.569,NA,220,75,80.905
"9","RF_RUN1_AllData","KAPPA",0.54,NA,376,66.071,88.945
"10","GAM_RUN2_AllData","ROC",0.863,NA,505.5,91.071,73.367
"11","GAM_RUN2_AllData","TSS",0.634,NA,499,91.071,72.362
"12","GAM_RUN2_AllData","KAPPA",0.541,NA,659,76.786,83.92
"13","GBM_RUN2_AllData","ROC",0.86,NA,471.5,78.571,80.402
"14","GBM_RUN2_AllData","TSS",0.585,NA,468,78.571,79.899
"15","GBM_RUN2_AllData","KAPPA",0.523,NA,526,73.214,84.422
"16","RF_RUN2_AllData","ROC",0.836,NA,259,78.571,77.889
"17","RF_RUN2_AllData","TSS",0.56,NA,251,78.571,77.387
"18","RF_RUN2_AllData","KAPPA",0.495,NA,328,71.429,83.417
"19","GAM_RUN3_AllData","ROC",0.875,NA,660,75,86.432
"20","GAM_RUN3_AllData","TSS",0.614,NA,657,75,86.432
"21","GAM_RUN3_AllData","KAPPA",0.567,NA,657,75,86.432
"22","GBM_RUN3_AllData","ROC",0.891,NA,514.5,85.714,80.905
"23","GBM_RUN3_AllData","TSS",0.666,NA,516,85.714,80.905
"24","GBM_RUN3_AllData","KAPPA",0.596,NA,630,76.786,87.437
"25","RF_RUN3_AllData","ROC",0.881,NA,291,91.071,79.899
"26","RF_RUN3_AllData","TSS",0.7,NA,282.5,91.071,78.894
"27","RF_RUN3_AllData","KAPPA",0.578,NA,313,87.5,81.407
"28","GAM_RUN4_AllData","ROC",0.88,NA,616,83.929,82.412
"29","GAM_RUN4_AllData","TSS",0.658,NA,610,83.929,81.91
"30","GAM_RUN4_AllData","KAPPA",0.562,NA,758,67.857,89.447
"31","GBM_RUN4_AllData","ROC",0.888,NA,563,82.143,85.93
"32","GBM_RUN4_AllData","TSS",0.676,NA,557,82.143,85.427
"33","GBM_RUN4_AllData","KAPPA",0.606,NA,576,80.357,86.432
"34","RF_RUN4_AllData","ROC",0.889,NA,234,92.857,75.879
"35","RF_RUN4_AllData","TSS",0.67,NA,236,92.857,75.879
