"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.465,0.271,0.207,0.318,0.19,0.074,0.386,0.225,0.11,0.478,0.425,0.27,0.374,0.243,0.078,0.327,0.287,0.105,0.356,0.195,0.115,0.46,0.314,0.29,0.267,0.254,0.148,0.329,0.357,0.245
"lag_sst",0.403,0.429,0.462,0.497,0.529,0.611,0.524,0.583,0.439,0.543,0.444,0.442,0.566,0.523,0.485,0.59,0.462,0.562,0.596,0.307,0.371,0.611,0.486,0.469,0.455,0.4,0.44,0.532,0.453,0.32
"int_chl",0.475,0.342,0.176,0.395,0.407,0.286,0.367,0.376,0.282,0.5,0.325,0.198,0.368,0.3,0.256,0.561,0.426,0.278,0.391,0.45,0.327,0.358,0.27,0.181,0.447,0.523,0.368,0.547,0.397,0.252
"sss",0.319,0.079,0.158,0.316,0.072,0.197,0.313,0.061,0.17,0.243,0.022,0.119,0.286,0.062,0.241,0.259,0.028,0.095,0.443,0.198,0.239,0.334,0.085,0.178,0.294,0.051,0.17,0.21,0.028,0.162
