"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.668,NA,590,76.471,91.692
"2","EMmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.742,NA,394,91.979,82.175
"3","EMmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.946,NA,393.5,91.979,82.175
"4","EMcvByROC_mergedAlgo_mergedRun_mergedData","KAPPA",NA,NA,NA,NA,NA
"5","EMcvByROC_mergedAlgo_mergedRun_mergedData","TSS",NA,NA,NA,NA,NA
"6","EMcvByROC_mergedAlgo_mergedRun_mergedData","ROC",NA,NA,NA,NA,NA
"7","EMciInfByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.684,NA,577,72.727,94.109
"8","EMciInfByROC_mergedAlgo_mergedRun_mergedData","TSS",0.747,NA,322,92.513,82.175
"9","EMciInfByROC_mergedAlgo_mergedRun_mergedData","ROC",0.952,NA,328.5,91.979,82.931
"10","EMciSupByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.65,NA,639,77.005,90.483
"11","EMciSupByROC_mergedAlgo_mergedRun_mergedData","TSS",0.737,NA,451,91.979,81.571
"12","EMciSupByROC_mergedAlgo_mergedRun_mergedData","ROC",0.939,NA,396,96.257,77.946
"13","EMmedianByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.647,NA,602,78.075,89.879
"14","EMmedianByROC_mergedAlgo_mergedRun_mergedData","TSS",0.747,NA,395,93.583,81.118
"15","EMmedianByROC_mergedAlgo_mergedRun_mergedData","ROC",0.936,NA,394,93.583,81.118
"16","EMcaByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.658,NA,949,67.914,94.713
"17","EMcaByROC_mergedAlgo_mergedRun_mergedData","TSS",0.762,NA,313,96.791,79.456
"18","EMcaByROC_mergedAlgo_mergedRun_mergedData","ROC",0.942,NA,316.5,96.791,79.456
"19","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","KAPPA",0.669,NA,571,78.075,90.937
"20","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","TSS",0.742,NA,394,91.979,82.175
"21","EMwmeanByROC_mergedAlgo_mergedRun_mergedData","ROC",0.946,NA,394,91.979,82.175
