"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.063,0.056,0.078,0.081,0.043,0.082,0.067,0.025,0.055,0.095,0.055,0.09,0.194,0.116,0.161,0.121,0.091,0.12,0.082,0.088,0.101,0.114,0.067,0.085,0.043,0.055,0.09,0.172,0.143,0.164
"lag_sst",0.684,0.749,0.743,0.68,0.836,0.763,0.636,0.794,0.716,0.625,0.815,0.732,0.518,0.698,0.637,0.625,0.763,0.668,0.662,0.717,0.722,0.513,0.805,0.671,0.792,0.713,0.711,0.791,0.762,0.713
"int_chl",0.371,0.36,0.352,0.362,0.312,0.305,0.392,0.362,0.324,0.377,0.363,0.369,0.414,0.349,0.321,0.417,0.345,0.316,0.398,0.415,0.34,0.423,0.329,0.342,0.403,0.397,0.316,0.399,0.357,0.35
"sss",0.205,0.178,0.162,0.261,0.11,0.125,0.292,0.159,0.141,0.325,0.121,0.135,0.275,0.18,0.193,0.215,0.148,0.158,0.219,0.138,0.163,0.314,0.172,0.159,0.189,0.199,0.229,0.169,0.182,0.198
