"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.741,NA,0.5,77.778,70
"2","GAM_RUN1_AllData","TSS",0.478,NA,0,100,0
"3","GAM_RUN1_AllData","KAPPA",0.211,NA,990,33.333,90
"4","GBM_RUN1_AllData","ROC",0.81,NA,189.5,88.889,72
"5","GBM_RUN1_AllData","TSS",0.579,NA,184,88.889,69
"6","GBM_RUN1_AllData","KAPPA",0.295,NA,361.5,44.444,91
"7","RF_RUN1_AllData","ROC",0.663,NA,63,77.778,60
"8","RF_RUN1_AllData","TSS",0.378,NA,62.5,77.778,60
"9","RF_RUN1_AllData","KAPPA",0.187,NA,303,11.111,100
"10","GAM_RUN2_AllData","ROC",0.738,NA,4,77.778,69
"11","GAM_RUN2_AllData","TSS",0.438,NA,0,100,0
"12","GAM_RUN2_AllData","KAPPA",0.298,NA,990,33.333,95
"13","GBM_RUN2_AllData","ROC",0.766,NA,124,88.889,56
"14","GBM_RUN2_AllData","TSS",0.449,NA,122,88.889,55
"15","GBM_RUN2_AllData","KAPPA",0.358,NA,684.5,33.333,97
"16","RF_RUN2_AllData","ROC",0.762,NA,84,88.889,66
"17","RF_RUN2_AllData","TSS",0.549,NA,85,88.889,66
"18","RF_RUN2_AllData","KAPPA",0.206,NA,85,88.889,66
"19","GAM_RUN3_AllData","ROC",0.777,NA,0.5,77.778,80
"20","GAM_RUN3_AllData","TSS",0.578,NA,0,100,0
"21","GAM_RUN3_AllData","KAPPA",0.303,NA,0,100,0
"22","GBM_RUN3_AllData","ROC",0.788,NA,276,88.889,69
"23","GBM_RUN3_AllData","TSS",0.579,NA,275.5,88.889,69
"24","GBM_RUN3_AllData","KAPPA",0.255,NA,308,77.778,76
"25","RF_RUN3_AllData","ROC",0.811,NA,55,100,60
"26","RF_RUN3_AllData","TSS",0.58,NA,52,100,58
"27","RF_RUN3_AllData","KAPPA",0.326,NA,317,33.333,96
"28","GAM_RUN4_AllData","ROC",0.622,NA,8,66.667,60
"29","GAM_RUN4_AllData","TSS",0.267,NA,10,66.667,60
"30","GAM_RUN4_AllData","KAPPA",0.271,NA,990,22.222,97
"31","GBM_RUN4_AllData","ROC",0.691,NA,78,100,37
"32","GBM_RUN4_AllData","TSS",0.37,NA,78,100,37
"33","GBM_RUN4_AllData","KAPPA",0.215,NA,562,22.222,96
