"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.691,NA,373,61.538,81.667
"2","GAM_RUN1_AllData","TSS",0.432,NA,369,61.538,81.667
"3","GAM_RUN1_AllData","KAPPA",0.366,NA,369,61.538,81.667
"4","GBM_RUN1_AllData","ROC",0.885,NA,176.5,100,65
"5","GBM_RUN1_AllData","TSS",0.65,NA,177,100,65
"6","GBM_RUN1_AllData","KAPPA",0.543,NA,670,46.154,98.333
"7","RF_RUN1_AllData","ROC",0.832,NA,94,92.308,60
"8","RF_RUN1_AllData","TSS",0.523,NA,94,92.308,60
"9","RF_RUN1_AllData","KAPPA",0.543,NA,479.5,46.154,98.333
"10","GAM_RUN2_AllData","ROC",0.696,NA,997,53.846,88.333
"11","GAM_RUN2_AllData","TSS",0.405,NA,975,53.846,86.667
"12","GAM_RUN2_AllData","KAPPA",0.382,NA,975,53.846,86.667
"13","GBM_RUN2_AllData","ROC",0.746,NA,564,53.846,91.667
"14","GBM_RUN2_AllData","TSS",0.455,NA,562,53.846,91.667
"15","GBM_RUN2_AllData","KAPPA",0.469,NA,562,53.846,91.667
"16","RF_RUN2_AllData","ROC",0.756,NA,319,53.846,90
"17","RF_RUN2_AllData","TSS",0.438,NA,318,53.846,90
"18","RF_RUN2_AllData","KAPPA",0.438,NA,318,53.846,90
"19","GAM_RUN3_AllData","ROC",0.729,NA,72.5,76.923,68.333
"20","GAM_RUN3_AllData","TSS",0.453,NA,71,76.923,66.667
"21","GAM_RUN3_AllData","KAPPA",0.362,NA,939,38.462,93.333
"22","GBM_RUN3_AllData","ROC",0.818,NA,371,84.615,71.667
"23","GBM_RUN3_AllData","TSS",0.546,NA,359,84.615,70
"24","GBM_RUN3_AllData","KAPPA",0.502,NA,686,53.846,93.333
"25","RF_RUN3_AllData","ROC",0.814,NA,235,84.615,66.667
"26","RF_RUN3_AllData","TSS",0.513,NA,234,84.615,65
"27","RF_RUN3_AllData","KAPPA",0.502,NA,526,53.846,93.333
"28","GAM_RUN4_AllData","ROC",0.804,NA,551.5,61.538,86.667
"29","GAM_RUN4_AllData","TSS",0.482,NA,550,61.538,86.667
"30","GAM_RUN4_AllData","KAPPA",0.469,NA,767,53.846,91.667
"31","GBM_RUN4_AllData","ROC",0.854,NA,558.5,69.231,91.667
"32","GBM_RUN4_AllData","TSS",0.609,NA,556,69.231,91.667
"33","GBM_RUN4_AllData","KAPPA",0.591,NA,556,69.231,91.667
"34","RF_RUN4_AllData","ROC",0.836,NA,227,84.615,76.667
"35","RF_RUN4_AllData","TSS",0.613,NA,224.5,84.615,76.667
"36","RF_RUN4_AllData","KAPPA",0.472,NA,265,76.923,81.667
"37","GAM_RUN5_AllData","ROC",0.747,NA,99,76.923,78.333
"38","GAM_RUN5_AllData","TSS",0.553,NA,96,76.923,78.333
"39","GAM_RUN5_AllData","KAPPA",0.445,NA,263,69.231,83.333
"40","GBM_RUN5_AllData","ROC",0.853,NA,350.5,92.308,80
"41","GBM_RUN5_AllData","TSS",0.723,NA,347,92.308,80
"42","GBM_RUN5_AllData","KAPPA",0.543,NA,347,92.308,80
"43","RF_RUN5_AllData","ROC",0.818,NA,61,100,58.333
"44","RF_RUN5_AllData","TSS",0.579,NA,158.5,84.615,73.333
"45","RF_RUN5_AllData","KAPPA",0.408,NA,158.5,84.615,73.333
"46","GAM_RUN6_AllData","ROC",0.838,NA,315,69.231,83.333
"47","GAM_RUN6_AllData","TSS",0.526,NA,313,69.231,83.333
"48","GAM_RUN6_AllData","KAPPA",0.502,NA,894,53.846,93.333
"49","GBM_RUN6_AllData","ROC",0.837,NA,500.5,76.923,88.333
"50","GBM_RUN6_AllData","TSS",0.636,NA,488.5,76.923,86.667
"51","GBM_RUN6_AllData","KAPPA",0.553,NA,488.5,76.923,86.667
"52","RF_RUN6_AllData","ROC",0.804,NA,182,92.308,68.333
"53","RF_RUN6_AllData","TSS",0.606,NA,184,92.308,68.333
"54","RF_RUN6_AllData","KAPPA",0.532,NA,401,61.538,91.667
"55","GAM_RUN7_AllData","ROC",0.904,NA,629.5,92.308,81.667
"56","GAM_RUN7_AllData","TSS",0.74,NA,626,92.308,81.667
"57","GAM_RUN7_AllData","KAPPA",0.604,NA,727,84.615,86.667
"58","GBM_RUN7_AllData","ROC",0.885,NA,449.5,84.615,81.667
"59","GBM_RUN7_AllData","TSS",0.65,NA,277,100,65
"60","GBM_RUN7_AllData","KAPPA",0.553,NA,493,76.923,86.667
"61","RF_RUN7_AllData","ROC",0.884,NA,143,100,63.333
"62","RF_RUN7_AllData","TSS",0.633,NA,144,100,63.333
"63","RF_RUN7_AllData","KAPPA",0.543,NA,515,46.154,98.333
"64","GAM_RUN8_AllData","ROC",0.612,NA,458.5,46.154,83.333
"65","GAM_RUN8_AllData","TSS",0.295,NA,455,46.154,83.333
"66","GAM_RUN8_AllData","KAPPA",0.276,NA,646,38.462,88.333
"67","GBM_RUN8_AllData","ROC",0.835,NA,418.5,76.923,88.333
"68","GBM_RUN8_AllData","TSS",0.653,NA,419,76.923,88.333
"69","GBM_RUN8_AllData","KAPPA",0.582,NA,419,76.923,88.333
"70","RF_RUN8_AllData","ROC",0.821,NA,327,61.538,91.667
"71","RF_RUN8_AllData","TSS",0.532,NA,327,61.538,91.667
"72","RF_RUN8_AllData","KAPPA",0.532,NA,327,61.538,91.667
"73","GAM_RUN9_AllData","ROC",0.615,NA,0.5,46.154,80
"74","GAM_RUN9_AllData","TSS",0.262,NA,0,100,0
"75","GAM_RUN9_AllData","KAPPA",0.227,NA,0,100,0
"76","GBM_RUN9_AllData","ROC",0.776,NA,361,61.538,85
"77","GBM_RUN9_AllData","TSS",0.465,NA,360,61.538,85
