"","GAM.RUN1.AllData","GBM.RUN1.AllData","RF.RUN1.AllData","GAM.RUN2.AllData","GBM.RUN2.AllData","RF.RUN2.AllData","GAM.RUN3.AllData","GBM.RUN3.AllData","RF.RUN3.AllData","GAM.RUN4.AllData","GBM.RUN4.AllData","RF.RUN4.AllData","GAM.RUN5.AllData","GBM.RUN5.AllData","RF.RUN5.AllData","GAM.RUN6.AllData","GBM.RUN6.AllData","RF.RUN6.AllData","GAM.RUN7.AllData","GBM.RUN7.AllData","RF.RUN7.AllData","GAM.RUN8.AllData","GBM.RUN8.AllData","RF.RUN8.AllData","GAM.RUN9.AllData","GBM.RUN9.AllData","RF.RUN9.AllData","GAM.RUN10.AllData","GBM.RUN10.AllData","RF.RUN10.AllData"
"wind",0.302,0.263,0.284,0.22,0.173,0.261,0.237,0.204,0.265,0.286,0.221,0.271,0.356,0.276,0.331,0.239,0.196,0.263,0.214,0.186,0.27,0.18,0.23,0.302,0.217,0.226,0.287,0.288,0.277,0.297
"lag_sst",0.141,0.195,0.295,0.124,0.152,0.237,0.135,0.184,0.284,0.211,0.214,0.278,0.101,0.1,0.22,0.191,0.21,0.3,0.2,0.205,0.28,0.183,0.119,0.207,0.156,0.202,0.29,0.109,0.159,0.249
"int_chl",0.591,0.676,0.605,0.734,0.755,0.659,0.689,0.725,0.668,0.557,0.677,0.585,0.575,0.72,0.629,0.609,0.704,0.618,0.653,0.723,0.618,0.582,0.764,0.683,0.577,0.628,0.551,0.596,0.685,0.618
"sss",0.046,0.077,0.19,0.036,0.065,0.15,0.018,0.049,0.147,0.021,0.052,0.132,0.02,0.047,0.143,0.019,0.062,0.163,0.018,0.022,0.129,0.103,0.07,0.183,0.089,0.042,0.143,0.036,0.054,0.154
