"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","GAM_RUN1_AllData","ROC",0.813,NA,466,73.214,75.879
"2","GAM_RUN1_AllData","TSS",0.486,NA,461,73.214,75.377
"3","GAM_RUN1_AllData","KAPPA",0.413,NA,727,51.786,88.442
"4","GBM_RUN1_AllData","ROC",0.831,NA,368,75,78.392
"5","GBM_RUN1_AllData","TSS",0.534,NA,368,75,78.392
"6","GBM_RUN1_AllData","KAPPA",0.48,NA,597,60.714,87.437
"7","RF_RUN1_AllData","ROC",0.825,NA,189,78.571,75.377
"8","RF_RUN1_AllData","TSS",0.539,NA,188,78.571,74.874
"9","RF_RUN1_AllData","KAPPA",0.485,NA,320,64.286,86.432
"10","GAM_RUN2_AllData","ROC",0.874,NA,601.5,80.357,84.422
"11","GAM_RUN2_AllData","TSS",0.646,NA,572,82.143,82.412
"12","GAM_RUN2_AllData","KAPPA",0.59,NA,804,62.5,93.467
"13","GBM_RUN2_AllData","ROC",0.854,NA,383.5,83.929,71.357
"14","GBM_RUN2_AllData","TSS",0.553,NA,380,83.929,71.357
"15","GBM_RUN2_AllData","KAPPA",0.535,NA,730,57.143,92.462
"16","RF_RUN2_AllData","ROC",0.827,NA,228,83.929,74.372
"17","RF_RUN2_AllData","TSS",0.583,NA,227,83.929,74.372
"18","RF_RUN2_AllData","KAPPA",0.462,NA,354,64.286,84.925
"19","GAM_RUN3_AllData","ROC",0.813,NA,552,78.571,77.889
"20","GAM_RUN3_AllData","TSS",0.565,NA,553,78.571,77.889
"21","GAM_RUN3_AllData","KAPPA",0.498,NA,734,67.857,85.427
"22","GBM_RUN3_AllData","ROC",0.825,NA,517.5,76.786,80.905
"23","GBM_RUN3_AllData","TSS",0.572,NA,498,76.786,80.402
"24","GBM_RUN3_AllData","KAPPA",0.5,NA,577,73.214,82.915
"25","RF_RUN3_AllData","ROC",0.827,NA,301,76.786,78.894
"26","RF_RUN3_AllData","TSS",0.552,NA,297,76.786,78.392
"27","RF_RUN3_AllData","KAPPA",0.493,NA,458,64.286,86.432
"28","GAM_RUN4_AllData","ROC",0.814,NA,269.5,87.5,61.307
"29","GAM_RUN4_AllData","TSS",0.488,NA,564,67.857,80.905
"30","GAM_RUN4_AllData","KAPPA",0.441,NA,614,62.5,84.422
"31","GBM_RUN4_AllData","ROC",0.848,NA,474,78.571,81.407
"32","GBM_RUN4_AllData","TSS",0.595,NA,468,78.571,80.905
"33","GBM_RUN4_AllData","KAPPA",0.51,NA,468,78.571,80.905
"34","RF_RUN4_AllData","ROC",0.843,NA,259,85.714,79.397
"35","RF_RUN4_AllData","TSS",0.651,NA,258,85.714,78.894
"36","RF_RUN4_AllData","KAPPA",0.537,NA,258,85.714,78.894
"37","GAM_RUN5_AllData","ROC",0.863,NA,549,82.143,78.894
"38","GAM_RUN5_AllData","TSS",0.6,NA,542,82.143,77.889
"39","GAM_RUN5_AllData","KAPPA",0.535,NA,683,69.643,86.935
"40","GBM_RUN5_AllData","ROC",0.875,NA,442.5,85.714,77.889
"41","GBM_RUN5_AllData","TSS",0.631,NA,441,85.714,76.884
"42","GBM_RUN5_AllData","KAPPA",0.573,NA,598,71.429,88.442
"43","RF_RUN5_AllData","ROC",0.852,NA,216,82.143,78.392
"44","RF_RUN5_AllData","TSS",0.605,NA,213,82.143,78.392
"45","RF_RUN5_AllData","KAPPA",0.527,NA,370,69.643,86.432
"46","GAM_RUN6_AllData","ROC",0.832,NA,395.5,85.714,70.352
"47","GAM_RUN6_AllData","TSS",0.556,NA,388,85.714,69.849
"48","GAM_RUN6_AllData","KAPPA",0.507,NA,696,66.071,86.432
"49","GBM_RUN6_AllData","ROC",0.832,NA,284.5,85.714,69.849
"50","GBM_RUN6_AllData","TSS",0.543,NA,300,83.929,70.352
"51","GBM_RUN6_AllData","KAPPA",0.49,NA,539,67.857,84.925
"52","RF_RUN6_AllData","ROC",0.811,NA,182,78.571,73.367
"53","RF_RUN6_AllData","TSS",0.519,NA,183,78.571,73.367
"54","RF_RUN6_AllData","KAPPA",0.45,NA,394,58.929,86.935
"55","GAM_RUN7_AllData","ROC",0.846,NA,555,76.786,78.894
"56","GAM_RUN7_AllData","TSS",0.552,NA,551,76.786,78.392
"57","GAM_RUN7_AllData","KAPPA",0.526,NA,741,57.143,92.462
"58","GBM_RUN7_AllData","ROC",0.847,NA,394.5,85.714,73.869
"59","GBM_RUN7_AllData","TSS",0.586,NA,388,85.714,72.864
"60","GBM_RUN7_AllData","KAPPA",0.485,NA,659,55.357,90.955
"61","RF_RUN7_AllData","ROC",0.849,NA,241,82.143,79.397
"62","RF_RUN7_AllData","TSS",0.613,NA,251,80.357,80.905
"63","RF_RUN7_AllData","KAPPA",0.522,NA,251,80.357,80.905
"64","GAM_RUN8_AllData","ROC",0.878,NA,654.5,78.571,87.437
"65","GAM_RUN8_AllData","TSS",0.655,NA,646,78.571,86.935
"66","GAM_RUN8_AllData","KAPPA",0.608,NA,671,75,88.945
"67","GBM_RUN8_AllData","ROC",0.879,NA,582.5,78.571,87.94
"68","GBM_RUN8_AllData","TSS",0.665,NA,583,78.571,87.94
"69","GBM_RUN8_AllData","KAPPA",0.618,NA,583,78.571,87.94
"70","RF_RUN8_AllData","ROC",0.867,NA,203,87.5,75.377
"71","RF_RUN8_AllData","TSS",0.626,NA,209,85.714,76.884
"72","RF_RUN8_AllData","KAPPA",0.565,NA,361,71.429,87.94
"73","GAM_RUN9_AllData","ROC",0.825,NA,630.5,69.643,86.935
"74","GAM_RUN9_AllData","TSS",0.566,NA,632,69.643,86.935
"75","GAM_RUN9_AllData","KAPPA",0.572,NA,741,62.5,92.462
"76","GBM_RUN9_AllData","ROC",0.841,NA,601.5,69.643,88.945
"77","GBM_RUN9_AllData","TSS",0.586,NA,600,69.643,88.945
"78","GBM_RUN9_AllData","KAPPA",0.59,NA,684,62.5,93.467
"79","RF_RUN9_AllData","ROC",0.827,NA,337,71.429,84.925
"80","RF_RUN9_AllData","TSS",0.559,NA,328,71.429,84.422
"81","RF_RUN9_AllData","KAPPA",0.545,NA,432,62.5,90.452
"82","GAM_RUN10_AllData","ROC",0.862,NA,581,78.571,80.402
"83","GAM_RUN10_AllData","TSS",0.59,NA,578,78.571,80.402
"84","GAM_RUN10_AllData","KAPPA",0.551,NA,698,69.643,87.94
"85","GBM_RUN10_AllData","ROC",0.858,NA,493,82.143,78.894
"86","GBM_RUN10_AllData","TSS",0.61,NA,491,82.143,78.894
"87","GBM_RUN10_AllData","KAPPA",0.511,NA,546,76.786,81.91
"88","RF_RUN10_AllData","ROC",0.841,NA,171,87.5,67.839
"89","RF_RUN10_AllData","TSS",0.553,NA,169,87.5,67.839
"90","RF_RUN10_AllData","KAPPA",0.454,NA,329,66.071,83.417
